"","n_safty_rating","discount","Home_policy_ind","df_prior_carrier","df_cov_package","df_cat_zone","number_drivers","num_loaned_veh","num_owned_veh","num_leased_veh","driver_age","freq_agent","lon","lat","quoted_amt","credit_score"
"38",61,1,1,0,1,3,1,2,2,1,37,1,-73.9521468,40.7766412,3156,675
"40",126,0,0,4,1,2,2,1,1,0,108,1,-73.2116584,41.2078356,8368,553
"41",78,0,0,2,1,2,1,2,1,1,46,1,-73.9624327,40.6805029,5768,604
"43",300,0,0,6,0,4,5,2,2,1,171,0,-84.1909841,33.7994803,13749,594
"44",90,1,0,5,0,4,1,3,2,1,51,1,-93.4296446,44.9019949,1601,724
"45",84,0,0,4,0,4,1,0,1,1,60,1,-73.7213063,40.7349144,4935,611
"46",204,1,0,1,1,2,3,2,2,0,71,1,-73.9932872,40.755322,4080,635
"47",332,1,1,5,2,0,5,1,1,1,111,1,-74.0358876,40.846514,404,784
"48",148,0,0,0,0,4,2,2,3,0,105,1,-84.3857442,33.8363126,36255,542
"49",121,1,1,9,2,1,2,0,1,0,66,0,-81.898908,26.5545224,5677,672
"50",144,1,1,5,1,0,2,1,1,0,53,1,-73.9624327,40.8138912,2963,614
"51",152,1,1,7,0,4,2,1,1,0,94,1,-78.4758571,42.0786337,6261,541
"52",80,0,0,8,1,2,1,1,1,1,28,1,-80.2070328,25.7667897,5863,693
"53",64,0,0,9,0,0,1,2,3,2,52,0,-80.2377078,25.8830363,4603,623
"54",66,1,1,8,1,2,1,0,1,1,28,0,-80.2432839,25.9126818,4089,664
"55",138,0,0,4,0,4,2,0,1,0,82,1,-73.5623575,40.6031326,6670,589
"56",227,0,0,2,1,0,3,1,3,2,124,1,-77.6364299,43.1530599,4564,732
"57",256,0,0,9,0,0,3,2,2,0,91,1,-72.9268626,41.3052226,2449,602
"59",136,1,1,3,0,4,2,1,2,0,63,1,-78.8736493,42.8943161,8214,532
"61",75,0,0,9,2,0,1,2,1,1,43,1,-77.6120835,43.153975,5949,651
"62",75,0,0,4,0,4,1,1,2,0,51,0,-73.6477342,43.3163893,8287,585
"63",126,1,1,0,2,1,2,0,3,2,95,1,-80.2711588,26.0725672,797,730
"65",405,1,0,9,0,4,5,1,1,1,147,1,-77.6221091,43.1491054,7799,625
"66",129,1,0,2,0,4,2,0,1,2,116,1,-73.8713099,41.0102232,9412,576
"68",225,0,0,6,1,0,3,0,3,0,97,1,-72.6919814,41.7895977,2161,653
"69",147,1,1,9,2,0,2,1,1,2,106,1,-73.9947563,41.0229118,1102,778
"71",204,0,0,4,0,3,3,3,2,0,68,1,-73.8272029,40.6166766,9354,441
"72",193,0,0,4,0,3,3,1,2,0,71,0,-84.3016021,33.8992049,31281,480
"73",226,1,1,6,2,3,3,2,1,0,123,1,-93.0676373,44.9309348,544,787
"74",170,1,1,4,1,3,3,1,3,2,86,1,-73.6918806,40.636775,2334,600
"75",78,0,0,7,1,2,1,1,1,1,45,0,-73.762495,42.6532844,5167,616
"76",120,0,0,6,1,1,3,3,2,0,89,1,-81.7239979,30.2775931,4076,637
"77",60,1,0,1,0,0,1,1,1,0,65,0,-87.8255007,42.638141,29558,554
"78",307,0,0,4,0,4,4,2,2,0,129,1,-73.0700421,40.7941562,8841,522
"79",215,0,0,9,2,1,3,1,1,1,128,0,-82.7535929,27.8780347,3097,607
"81",66,0,0,6,2,0,1,2,1,0,58,0,-81.9425701,26.6272788,3036,549
"82",205,0,0,5,2,0,3,2,2,2,104,0,-74.3411515,40.6519674,1592,778
"83",165,0,0,7,0,3,2,1,3,1,94,1,-78.7362845,42.8795568,14512,563
"84",138,0,0,0,0,4,2,1,1,0,115,1,-89.1438051,44.3387864,36696,582
"85",251,0,0,2,1,0,3,2,1,1,96,0,-73.529964,40.6651384,2639,633
"86",167,0,0,3,1,0,2,0,2,1,79,1,-86.9173327,33.4730218,7790,600
"87",73,0,0,4,0,3,1,1,2,0,39,0,-72.6032895,41.7516768,6319,587
"88",232,0,0,8,1,3,3,0,1,0,69,0,-73.1231585,41.228775,1436,726
"89",205,0,0,2,1,3,5,0,2,0,144,1,-73.195196,41.1865502,2713,643
"90",251,0,0,9,1,2,4,3,2,1,148,1,-81.5706109,30.2906907,2862,657
"92",97,0,0,5,2,1,2,0,1,0,146,0,-75.0026972,39.8073767,2453,641
"93",299,0,0,7,0,3,4,2,3,0,102,1,-87.962884,43.0499798,16251,595
"94",205,0,0,9,0,4,3,2,3,0,93,1,-73.706594,40.7006866,5891,639
"97",152,0,0,2,2,1,2,0,1,1,82,1,-73.9976946,40.8485005,1516,772
"98",295,0,0,9,1,0,4,1,1,0,84,1,-84.377861,33.7440941,33692,582
"99",74,0,0,1,2,0,1,1,2,1,72,1,-80.2934522,25.6993807,892,765
"100",79,1,1,7,2,0,1,0,1,1,41,0,-93.3132624,45.1670628,872,746
"103",67,0,0,0,1,2,1,1,2,0,54,1,-74.0329499,40.7300567,3182,622
"104",74,0,0,3,2,1,1,2,1,0,46,0,-74.1797766,40.6517773,2566,734
"105",72,0,0,0,0,0,1,1,1,0,39,1,-92.131325,46.7619249,3374,684
"106",54,0,0,4,1,1,1,1,1,0,56,0,-73.9271644,40.6903213,5466,686
"107",86,0,0,2,0,4,1,2,1,0,43,0,-84.4697663,33.9290987,22601,580
"108",275,0,0,0,1,0,5,2,1,0,150,1,-74.223802,40.9025415,1582,803
"109",86,0,0,0,1,2,1,2,1,1,39,0,-73.7742616,41.0233153,5087,599
"110",158,0,0,6,2,2,2,1,1,0,107,1,-81.1802619,28.5898683,2881,665
"111",247,0,0,4,1,0,4,1,1,1,85,1,-73.1231585,40.8169046,7358,531
"112",62,0,0,2,1,1,1,1,1,1,51,1,-77.6221091,43.1491054,3818,649
"114",192,0,0,7,2,1,3,3,3,0,140,1,-81.3509416,28.5950986,1935,717
"116",168,0,0,7,2,2,2,2,1,1,130,1,-73.9212858,40.8721452,1325,814
"117",56,1,1,2,2,0,1,1,1,1,48,1,-72.9283391,41.3212912,1016,725
"118",73,1,1,4,1,1,1,0,1,0,41,1,-80.1791368,26.2563391,3902,653
"119",81,0,0,4,1,1,1,1,2,1,17,1,-75.0319086,39.9671069,3720,627
"120",67,0,0,9,0,4,1,0,1,1,34,1,-73.9800645,40.6681669,9640,610
"121",162,0,0,4,1,2,2,0,3,0,81,0,-93.2524636,45.1688065,9165,591
"122",202,0,0,2,1,1,3,1,3,1,116,0,-74.0079781,40.2114561,8285,470
"123",147,0,0,7,3,3,2,1,2,0,108,1,-87.8647961,42.9121206,26094,502
"124",71,0,0,0,2,1,1,1,1,1,52,1,-81.3564411,28.5085825,1403,724
"125",53,0,0,0,1,1,1,1,1,0,19,1,-73.0759446,40.8688263,2131,688
"126",81,0,0,4,2,4,1,3,2,0,47,1,-80.2377078,25.8830363,1720,779
"128",78,1,1,7,1,0,1,0,2,0,69,0,-84.2436849,33.8019475,18315,607
"129",262,0,0,8,0,0,3,1,2,0,115,1,-87.9751299,43.0671805,19464,593
"130",182,0,0,5,1,1,3,2,1,0,81,0,-74.1181234,40.6307451,4140,597
"132",49,0,0,4,1,2,1,0,2,0,18,0,-93.2734517,44.8365032,1387,739
"134",75,0,0,0,2,0,1,1,1,1,54,1,-73.9653715,40.8562383,4670,652
"135",211,0,0,0,1,1,3,1,1,2,110,1,-73.3767641,40.6821467,10724,563
"136",54,0,0,7,2,0,1,3,3,0,32,1,-73.1408613,40.8441592,5840,732
"138",211,0,0,0,1,2,3,1,1,1,100,1,-73.1172573,40.8602892,5145,699
"140",204,0,0,1,0,0,3,1,1,2,85,1,-88.0167406,43.0169374,11693,550
"141",166,0,0,5,2,2,2,1,2,0,78,1,-74.0623244,40.1030781,5222,656
"142",97,0,0,2,0,4,1,1,2,1,83,1,-74.0623244,40.1030781,1445,714
"144",93,0,0,2,2,1,1,1,1,0,56,0,7.5623594,50.3143821,1744,NA
"146",167,0,0,0,0,0,3,2,1,0,92,1,-73.3296037,40.7343811,7991,574
"147",130,0,0,0,2,1,2,3,1,1,101,0,-72.7629126,41.752238,4698,626
"149",145,0,0,7,2,1,2,1,3,1,91,1,-93.3337208,45.1243266,891,789
"150",85,0,0,1,0,3,1,0,3,0,51,1,-88.0460894,42.9980102,10345,628
"152",193,0,0,4,1,0,3,3,2,1,106,1,-80.2711588,26.2480143,1152,707
"153",84,0,0,7,1,2,2,2,1,1,99,0,-80.3992652,25.6653934,3300,659
"154",86,0,0,0,0,0,1,0,2,0,67,1,-80.2711588,25.7564662,7045,564
"155",230,0,0,2,1,2,3,2,1,0,114,1,-73.5211286,41.0994238,4958,652
"156",135,1,1,2,2,0,2,2,3,0,113,0,-75.0903154,39.9546859,5629,673
"157",73,0,0,4,0,0,1,2,1,1,34,1,-73.8095574,40.7031635,5097,623
"158",139,0,0,9,2,0,2,1,2,1,73,1,-80.0870155,26.8598894,3841,645
"160",289,0,0,8,0,4,5,0,1,2,144,1,-73.9477384,41.1929636,9445,597
"161",180,0,0,9,1,2,2,3,3,0,99,1,-93.2231727,44.9406559,2551,709
"162",72,0,0,6,0,3,1,3,1,0,68,1,-72.9934468,41.5399755,1870,750
"163",382,0,0,0,1,4,6,0,2,0,163,1,-87.9383822,43.0543956,6763,516
"167",224,0,0,9,2,3,3,1,3,0,86,1,-80.4048306,25.6950625,2307,721
"168",64,0,0,4,1,1,1,1,1,0,41,1,-73.9947563,41.0229118,2647,652
"169",204,0,0,4,0,4,3,0,2,1,79,1,-73.9212858,40.8376318,4870,639
"171",38,1,1,6,2,1,1,3,1,1,35,1,-87.9751299,43.0671805,21856,520
"172",266,0,0,0,2,0,4,1,3,0,117,1,-83.8952525,33.5739691,5035,667
"174",149,0,0,5,1,1,2,2,2,0,53,1,-74.4203192,40.3823028,3938,686
"175",201,0,0,5,0,4,3,2,2,0,111,0,-88.3093517,44.2875258,17390,496
"176",114,0,0,9,0,4,2,1,1,0,64,1,-73.7095365,40.6294348,560,761
"177",84,0,0,0,0,4,1,1,3,0,74,1,-80.3268812,25.9358702,2517,701
"180",157,1,1,4,0,4,2,0,1,1,67,0,-86.8512078,33.5199899,24143,549
"183",207,0,0,4,1,2,3,1,3,1,157,1,-75.0786357,39.8525918,5532,574
"185",184,0,0,5,1,3,3,2,2,1,120,1,-87.997164,42.9388315,10533,541
"186",178,0,0,7,1,1,3,1,1,0,113,0,-73.6241855,40.6986257,3081,606
"187",213,0,0,3,0,4,3,2,1,0,68,1,-87.997164,43.0457293,19429,561
"189",228,1,1,1,2,1,3,2,2,0,131,0,-79.2815333,42.1099323,3952,689
"190",137,0,0,2,0,3,2,1,2,1,66,1,-72.6712894,41.7888066,3961,672
"191",58,0,0,0,0,4,1,1,1,0,52,1,-76.1841701,43.1085295,4693,577
"192",75,0,0,3,2,0,1,2,1,0,55,1,-74.223802,40.5761692,1749,789
"193",88,1,1,5,1,1,1,1,2,0,54,1,-73.8257325,40.9606542,2008,610
"194",61,0,0,9,2,1,1,0,2,2,52,1,-73.9918181,40.8624613,1731,727
"196",93,1,1,4,2,1,1,1,2,1,33,0,-80.1540226,26.5145591,2629,667
"197",187,0,0,4,2,0,3,1,2,2,90,1,-93.3337208,45.1243266,1453,777
"198",435,1,0,1,2,1,6,2,1,1,196,1,-86.9173327,33.4730218,8291,545
"199",134,0,0,9,1,2,2,1,1,0,64,1,-74.2824862,40.4751425,1853,770
"200",147,0,0,0,0,4,2,2,2,2,90,1,-73.6506776,40.7987048,13867,676
"201",167,0,0,0,2,1,2,1,3,0,78,1,-93.4296446,44.9019949,1180,740
"202",308,0,0,5,1,3,5,2,1,1,146,1,-73.859549,40.9199758,9557,597
"204",95,0,0,2,1,1,2,3,3,1,80,0,-73.0493825,41.5658733,1662,762
"205",197,1,1,6,2,0,3,0,1,1,99,1,-80.1037721,26.7619563,2244,653
"206",74,0,0,7,0,3,1,1,1,0,33,1,-77.6364299,43.1530599,6656,570
"208",77,0,0,4,0,4,1,1,1,0,17,1,-82.5023464,27.890814,4514,629
"209",74,0,0,8,1,2,1,1,1,0,40,0,-81.5925427,30.3378989,2966,676
"210",127,0,0,6,1,1,2,1,1,1,116,1,-81.3564411,28.5085825,2489,657
"213",373,0,0,1,1,0,5,3,1,1,127,0,-72.2511833,41.8193203,2765,692
"214",49,0,0,6,1,1,1,1,2,0,19,1,-81.8115051,26.4792352,1005,742
"215",75,0,0,4,1,1,1,2,1,0,38,1,-93.6344466,44.9353307,1714,689
"217",144,0,0,3,1,0,2,1,3,0,88,1,-73.8213213,40.9071072,4687,679
"218",210,0,0,7,2,0,3,3,2,1,98,1,-78.8637428,42.8801089,1461,671
"219",148,0,0,4,2,1,2,2,1,0,111,1,-93.3364004,45.0167268,2909,657
"221",221,0,0,4,1,2,3,2,2,1,97,1,-74.0211989,40.9750092,863,774
"222",NA,0,0,4,2,1,1,0,2,1,57,1,-82.723924,27.791959,2339,688
"224",220,0,0,0,1,0,3,1,3,0,124,1,-74.3264869,40.6524118,2169,706
"226",154,0,0,0,1,4,2,2,1,1,90,1,-93.3337208,45.1243266,1162,769
"227",224,0,0,3,2,0,3,3,1,0,91,0,-74.3088879,40.5309535,2913,670
"229",110,1,1,3,2,1,2,1,2,0,83,0,-74.0358876,40.3610648,1943,790
"230",104,0,0,0,1,4,3,0,1,0,73,1,-87.9040571,42.9712071,28906,610
"231",139,0,0,9,1,2,2,1,1,1,86,1,-93.2835137,44.8735964,1771,777
"232",225,0,0,9,1,3,3,2,3,1,105,1,-82.5131717,27.2612782,6478,527
"234",37,0,0,1,2,3,1,1,1,0,49,1,-81.444379,28.5141606,1966,776
"238",147,0,0,4,2,0,2,0,1,0,105,1,-73.1408613,40.8441592,3808,NA
"239",139,1,1,0,2,2,2,2,1,0,97,1,-74.1063776,40.9845896,1487,730
"240",69,0,0,1,0,1,1,0,1,0,59,0,-87.8255014,42.7333428,14186,578
"243",88,1,1,1,0,4,1,2,3,0,56,0,-84.3699767,33.8856615,38069,539
"244",160,0,0,7,1,3,2,1,2,0,114,1,-73.8457658,40.7245678,4064,635
"245",196,0,0,0,0,4,3,2,3,1,74,1,-86.8490126,33.4412139,13626,533
"246",167,0,0,4,1,2,2,3,2,1,85,0,-73.7860276,40.8971093,2620,655
"247",101,0,0,9,1,2,2,0,2,0,119,1,-73.2116584,41.1687117,2588,679
"249",205,0,0,6,2,0,3,0,2,2,66,1,-80.2153998,26.3494101,2914,616
"250",182,1,0,4,1,0,3,0,1,1,76,1,-75.0552739,39.9701797,195,776
"251",309,0,0,4,1,2,4,2,2,0,125,1,-74.0476378,40.8876273,4206,603
"252",155,1,1,8,2,1,2,0,1,1,67,0,-73.0493825,41.5658733,1755,727
"253",67,0,0,9,1,2,1,0,2,1,16,1,-73.9447994,40.5988077,4915,667
"254",80,1,0,0,0,1,1,2,2,0,18,0,-73.7860276,40.8971093,4101,710
"255",130,0,0,7,2,1,2,3,2,0,101,1,-82.394,28.0362327,3124,642
"256",316,0,0,0,2,1,5,3,2,1,180,0,-73.8242621,40.9247625,1540,743
"257",169,0,0,7,0,1,2,1,3,2,63,1,-73.9374517,40.8288377,8070,513
"258",276,0,0,5,1,1,5,1,1,0,117,1,-74.2296713,40.8589645,4062,677
"259",108,0,0,7,0,4,2,2,1,1,51,1,-73.8330844,40.6966538,9047,553
"264",144,0,0,4,2,2,2,0,3,1,68,1,-74.0152027,40.7167028,4626,653
"266",213,0,0,2,1,4,3,1,1,0,87,1,-73.4828374,40.7470968,4730,606
"268",158,0,0,4,2,0,2,0,1,0,63,1,-80.1149414,26.237305,1754,712
"269",53,0,0,7,2,0,1,2,1,0,19,1,-74.955948,39.8817088,3279,667
"270",50,0,0,5,1,2,1,2,1,0,53,1,-73.4298073,40.7245083,2141,642
"271",143,1,1,4,1,1,2,1,2,0,112,0,-75.0173035,39.8269198,1625,811
"272",119,0,0,4,0,4,2,1,1,0,64,1,-77.6364299,43.1816979,5485,669
"274",64,1,1,9,2,0,1,1,1,0,17,1,-82.7428057,28.0056225,1510,735
"275",124,0,0,0,0,0,2,0,1,0,67,0,-73.9001578,41.6940961,6044,516
"277",81,0,0,7,0,3,1,1,2,2,66,1,-80.2209773,26.2153627,4024,682
"280",131,0,0,0,1,2,2,2,1,0,77,1,-82.5131717,27.9263478,5321,682
"281",353,0,0,5,0,4,6,1,2,1,190,1,-93.2599459,45.0563001,851,771
"282",154,1,1,9,0,2,2,2,3,0,114,0,-81.0478643,29.2971256,2336,659
"283",81,0,0,0,0,3,1,1,1,2,47,1,-73.9330429,40.8639624,7888,569
"287",138,0,0,4,2,1,2,3,2,1,114,1,-74.0375011,40.716828,1313,802
"288",124,0,0,5,2,1,2,2,1,1,91,1,-74.4467007,40.607053,2017,717
"290",151,0,0,5,0,4,2,1,2,0,101,1,-73.8683697,40.8300731,4993,676
"291",134,1,0,4,1,1,2,2,1,2,79,1,-73.8213213,40.7493096,4405,626
"292",116,0,0,7,1,1,2,1,2,1,139,1,-73.7095365,40.6294348,3139,643
"294",358,1,1,6,1,1,5,2,1,0,168,1,-87.8697056,42.9754355,1844,711
"295",110,1,0,9,2,0,2,0,1,0,122,1,-82.7940297,27.9413341,4239,711
"296",78,0,0,7,1,0,1,0,1,1,41,1,-82.5456374,27.3331293,3710,694
"297",89,1,0,4,1,2,1,1,1,1,50,0,-81.7021049,26.1916102,6829,611
"298",172,0,0,8,1,2,2,1,1,1,76,0,-74.1739057,40.6311444,5255,657
"299",66,1,1,1,1,3,1,2,1,0,60,0,-80.1372757,26.180392,5176,631
"300",299,0,0,3,1,3,4,2,1,0,107,0,-74.156292,40.9300511,2009,688
"303",210,0,0,4,2,0,3,3,3,0,109,1,-74.223802,40.5761692,1802,797
"305",91,1,0,7,2,1,1,1,1,0,47,1,-80.1763467,26.142147,2155,611
"306",211,1,1,0,1,2,4,1,1,1,117,1,-74.2326058,40.7680056,1031,767
"307",77,0,0,7,1,2,1,1,1,1,17,0,-73.9183464,42.8162941,4221,654
"308",160,0,0,0,2,0,2,2,1,0,86,1,-73.9859414,40.822166,3538,730
"309",151,0,0,2,1,0,2,2,2,0,111,1,-74.4818698,40.4430064,3625,699
"310",66,0,0,4,0,0,1,0,3,0,33,1,-78.8736493,42.8943161,5720,636
"311",67,0,0,5,2,0,1,2,2,0,17,1,-73.9932872,40.7750791,1253,792
"313",81,0,0,4,2,1,1,1,2,0,41,1,-73.8683697,40.7659246,4111,683
"314",155,0,0,2,1,0,2,1,1,0,45,1,-77.7881176,42.2469977,7444,559
"315",223,1,1,7,0,0,3,2,1,1,88,1,-87.9775787,43.0842021,18590,489
"316",108,1,0,9,1,2,2,1,2,0,93,1,-74.1592278,39.9741059,2374,639
"317",167,0,0,3,0,3,2,2,1,0,68,1,-73.8477874,40.8690303,6352,546
"319",200,0,0,5,0,4,3,2,3,2,116,1,-73.8477874,40.8690303,7629,525
"323",165,0,0,5,0,4,2,3,3,0,61,1,-80.2265545,26.0695412,6549,580
"324",209,0,0,5,1,1,3,0,1,0,96,1,-74.2472779,40.836743,2568,NA
"325",160,0,0,4,0,4,2,1,1,0,94,1,-82.5077593,28.0133862,4080,622
"326",79,1,0,7,1,4,1,2,3,2,37,1,-73.8242621,40.8262186,4513,657
"327",327,1,0,1,1,1,5,1,2,0,169,1,-80.1847167,25.76528,2264,656
"329",77,1,0,5,1,1,1,2,1,1,63,1,-73.9683102,40.7999209,10711,523
"331",183,0,0,4,0,4,2,2,1,0,92,1,-73.8477874,40.7901266,10175,562
"333",174,0,0,9,1,0,2,2,3,0,100,1,-73.8683697,40.7659246,4430,644
"334",172,0,0,7,1,1,2,2,1,2,114,0,-78.8297701,42.8671413,4915,663
"335",290,0,0,9,0,3,4,1,1,0,123,1,-73.9447994,40.8557765,9936,557
"336",55,0,0,4,1,1,1,1,1,0,17,1,-73.9183464,41.2916113,3071,616
"337",84,1,1,7,1,1,1,1,1,1,56,1,-73.9271644,40.794065,7710,575
"338",117,0,0,0,1,3,2,1,2,0,62,0,-93.1980527,44.7497326,2948,663
"339",212,1,1,6,0,3,3,1,2,0,131,1,-87.9432837,42.991356,27837,526
"340",61,0,0,3,1,1,1,2,1,0,19,0,-74.3176876,40.5693929,2355,632
"341",89,0,0,7,1,4,1,2,1,1,34,1,-73.5181833,40.7226698,5121,579
"342",142,1,1,5,0,3,2,0,2,0,85,1,-84.3436881,33.9900649,34173,576
"343",119,1,0,0,1,2,2,1,1,0,107,1,-73.6506776,40.7691114,4461,606
"344",79,0,0,6,0,4,1,1,3,0,51,0,-81.0809848,32.081259,8074,513
"345",132,1,1,5,0,4,2,0,3,0,108,1,-74.2120629,40.7132136,3532,654
"346",61,1,1,7,0,1,1,2,1,0,65,1,-73.5888575,40.7033646,8829,535
"347",127,1,0,5,0,1,2,1,3,0,138,0,-87.8255007,42.638141,23015,620
"348",124,0,0,5,0,4,2,1,3,0,52,0,-82.3289111,29.6422516,3368,612
"349",63,0,0,9,2,3,1,1,2,0,44,1,-74.0241367,40.1601131,788,778
"350",64,0,0,0,3,3,1,2,2,0,17,1,-73.9624327,40.6805029,4722,645
"351",84,1,1,2,1,1,1,2,1,0,63,0,-74.3792737,40.8822334,3100,645
"353",174,0,0,0,0,4,2,1,3,0,102,1,-73.9065883,40.7787902,11330,617
"354",85,0,0,0,3,0,1,1,3,2,61,0,-84.2594861,33.7414395,1569,722
"355",145,0,0,1,0,3,3,2,1,0,97,1,-80.1149414,26.237305,3561,691
"356",163,0,0,6,0,3,2,2,2,1,110,1,-73.9932872,40.7750791,7040,563
"357",171,0,0,2,0,4,3,1,1,0,83,0,-88.04,30.69,40805,596
"358",315,0,0,4,1,1,5,0,2,0,142,1,-74.197388,40.7383636,1008,783
"359",134,0,0,9,0,3,2,1,1,2,58,1,-73.9558204,40.7728432,6776,533
"360",206,0,0,8,2,0,3,2,3,0,97,1,-73.8918897,40.7594109,3722,664
"363",68,0,0,2,1,1,1,1,1,0,59,0,-78.8637428,42.8801089,4780,598
"364",212,0,0,2,1,2,3,0,1,2,87,1,-74.45185,40.4861552,3852,683
"366",149,0,0,4,0,0,2,0,2,1,117,1,-80.2377078,25.8127791,3972,702
"367",137,0,0,6,1,1,2,2,1,0,89,1,-73.9506774,40.6788319,8172,516
"368",163,0,0,3,2,3,2,1,1,0,64,1,-82.7401087,27.9385015,4601,656
"369",151,0,0,4,0,3,2,1,2,0,65,1,-81.3564411,28.334712,4835,620
"371",84,0,0,5,2,1,1,2,2,0,20,1,-73.9859414,40.822166,936,708
"372",54,0,0,1,2,1,1,2,1,0,21,1,-80.360297,25.7858514,5730,663
"374",90,0,0,5,2,4,1,2,2,0,51,1,-78.8241068,42.8954613,5029,746
"378",156,0,0,5,2,0,2,1,2,1,95,1,-74.0828839,39.9483893,1314,764
"379",123,0,0,9,0,4,2,2,1,0,102,1,-84.2805478,33.8092255,9956,610
"380",156,0,0,8,1,2,2,0,1,0,121,1,-80.1233175,26.1531223,4767,609
"381",211,0,0,2,0,2,3,2,3,1,90,0,-86.2615689,32.3405671,27667,518
"383",133,1,1,0,2,2,2,1,2,0,57,1,-74.1063776,40.658801,2662,676
"384",204,1,0,6,1,4,3,0,1,1,167,1,-82.5780878,27.4399922,1100,712
"385",74,0,0,1,1,2,1,3,1,1,38,1,-84.2542195,30.4305062,2203,723
"388",243,0,0,0,2,0,3,2,1,0,151,1,-93.4296446,44.9019949,829,753
"389",129,0,0,2,0,4,2,2,2,0,121,0,-74.2971543,40.727549,5387,672
"390",69,1,1,0,0,4,1,0,2,1,58,1,-73.3973936,40.6777841,9174,563
"391",87,1,1,1,1,3,1,0,1,0,40,1,-82.5456374,27.3681789,2215,672
"392",75,0,0,4,1,3,1,1,1,0,57,1,-73.49462,40.6599676,6078,555
"394",73,0,0,8,0,4,1,2,1,1,32,0,-82.3289111,29.6422516,5117,719
"395",134,0,0,6,1,1,2,1,1,0,98,1,-80.2265545,26.0695412,2666,628
"399",93,0,0,5,1,2,1,2,1,0,48,0,-74.223802,40.9025415,3853,657
"400",145,0,0,3,0,3,2,0,3,1,121,1,-73.5653021,40.906958,12007,502
"401",84,0,0,5,1,2,1,1,1,1,40,1,-74.7673546,40.2187428,2306,648
"402",83,0,0,5,2,0,1,1,1,1,45,1,-74.2912872,40.6772404,1329,781
"403",181,0,0,4,1,0,3,2,1,0,125,1,-78.8637428,42.8801089,5503,647
"405",289,1,1,0,2,0,4,2,2,0,144,1,-82.7455027,28.2356313,1642,773
"406",165,0,0,7,2,0,2,1,1,1,133,1,-73.195196,41.1865502,1027,775
"407",206,0,0,4,1,1,3,1,3,0,76,1,-80.3045967,25.9109586,1432,833
"409",155,0,0,0,1,2,2,0,1,1,101,1,-73.8279381,42.6907733,5826,657
"410",66,1,1,2,1,0,1,0,1,0,67,1,-73.6918806,40.636775,1323,680
"412",93,1,0,1,2,0,1,3,1,1,52,1,-80.4367421,25.4921341,2315,625
"414",59,0,0,3,2,1,1,2,1,0,51,1,-80.1484407,25.783312,2956,623
"417",252,1,0,3,1,2,4,2,2,0,95,0,-81.806039,26.1917113,1703,764
"418",340,0,0,3,2,1,4,2,1,1,181,0,-74.4232507,40.6137438,822,712
"419",129,0,0,2,0,4,2,0,3,1,52,0,-83.3749322,33.954258,11002,519
"420",155,0,0,5,1,3,2,0,1,0,118,0,-74.2208673,40.6723782,5352,620
"421",226,0,0,9,1,0,3,0,2,1,117,0,-80.1679758,25.7700009,4279,NA
"423",41,0,0,7,1,2,1,1,3,2,17,1,-80.1819268,26.0898957,4775,634
"424",72,0,0,4,1,4,1,0,3,0,18,1,-80.4604643,25.6987264,3025,589
