"","ch.zip","lon","lat"
"110","32826",-81.1802619,28.5898683
"111","11779",-73.1231585,40.8169046
"112","14608",-77.6221091,43.1491054
"113","10010",-73.9815337,40.7388319
"114","32789",-81.3509416,28.5950986
"115","11358",-73.7977928,40.760743
"116","10034",-73.9212858,40.8721452
"117","6511",-72.9283391,41.3212912
"118","33066",-80.1791368,26.2563391
"119","8109",-75.0319086,39.9671069
"120","11215",-73.9800645,40.6681669
"121","55434",-93.2524636,45.1688065
"122","7756",-74.0079781,40.2114561
"123","53172",-87.8647961,42.9121206
"124","32806",-81.3564411,28.5085825
"125","11720",-73.0759446,40.8688263
"126","33167",-80.2377078,25.8830363
"127","55443",-93.3337208,45.1243266
"128","30021",-84.2436849,33.8019475
"129","53210",-87.9751299,43.0671805
"130","10310",-74.1181234,40.6307451
"131","11427",-73.7442568,40.7302787
"132","55420",-93.2734517,44.8365032
"133","30044",-84.0695961,33.9327331
"134","7024",-73.9653715,40.8562383
"135","11757",-73.3767641,40.6821467
"136","11767",-73.1408613,40.8441592
"137","55101",-93.0901841,44.9513188
"138","11755",-73.1172573,40.8602892
"139","7022",-74.0035709,40.8197331
"140","53214",-88.0167406,43.0169374
"141","8730",-74.0623244,40.1030781
"142","8730",-74.0623244,40.1030781
"143","11357",-73.8124984,40.7850656
"144","56075",7.5623594,50.3143821
"145","10705",-73.8977693,40.9180569
"146","11703",-73.3296037,40.7343811
"147","6107",-72.7629126,41.752238
"148","55101",-93.0901841,44.9513188
"149","55443",-93.3337208,45.1243266
"150","53227",-88.0460894,42.9980102
"151","32818",-81.4828198,28.5802998
"152","33071",-80.2711588,26.2480143
"153","33186",-80.3992652,25.6653934
"154","33134",-80.2711588,25.7564662
"155","6907",-73.5211286,41.0994238
"156","8105",-75.0903154,39.9546859
"157","11435",-73.8095574,40.7031635
"158","33410",-80.0870155,26.8598894
"159","33463",-80.1316927,26.6064003
"160","10927",-73.9477384,41.1929636
"161","55406",-93.2231727,44.9406559
"162","6705",-72.9934468,41.5399755
"163","53205",-87.9383822,43.0543956
"164","30338",-84.3226488,33.944647
"165","32935",-80.6437906,28.1543081
"166","30083",-84.1909841,33.7994803
"167","33183",-80.4048306,25.6950625
"168","7675",-73.9947563,41.0229118
"169","10452",-73.9212858,40.8376318
"170","10530",-73.8124984,41.0214474
"171","53210",-87.9751299,43.0671805
"172","30070",-83.8952525,33.5739691
"173","55122",-93.2080991,44.8149747
"174","8828",-74.4203192,40.3823028
"175","54140",-88.3093517,44.2875258
"176","11598",-73.7095365,40.6294348
"177","33015",-80.3268812,25.9358702
"178","11598",-73.7095365,40.6294348
"179","7002",-74.1063776,40.658801
"180","35254",-86.8512078,33.5199899
"181","10530",-73.8124984,41.0214474
"182","7065",-74.2824862,40.6041777
"183","8078",-75.0786357,39.8525918
"184","7027",-74.3264869,40.6524118
"185","53129",-87.997164,42.9388315
"186","11550",-73.6241855,40.6986257
"187","53213",-87.997164,43.0457293
"188","33486",-80.1149414,26.3424842
"189","14720",-79.2815333,42.1099323
"190","6120",-72.6712894,41.7888066
"191","13088",-76.1841701,43.1085295
"192","7008",-74.223802,40.5761692
"193","10707",-73.8257325,40.9606542
"194","7605",-73.9918181,40.8624613
"195","11755",-73.1172573,40.8602892
"196","33437",-80.1540226,26.5145591
"197","55443",-93.3337208,45.1243266
"198","35064",-86.9173327,33.4730218
"199","8879",-74.2824862,40.4751425
"200","11576",-73.6506776,40.7987048
"201","55343",-93.4296446,44.9019949
"202","10704",-73.859549,40.9199758
"203","11358",-73.7977928,40.760743
"204","6710",-73.0493825,41.5658733
"205","33407",-80.1037721,26.7619563
"206","14611",-77.6364299,43.1530599
"207","14616",-77.6478852,43.2306445
"208","33611",-82.5023464,27.890814
"209","32211",-81.5925427,30.3378989
"210","32806",-81.3564411,28.5085825
"211","33990",-81.9425701,26.6272788
"212","7442",-74.2854199,41.0022968
"213","6269",-72.2511833,41.8193203
"214","33967",-81.8115051,26.4792352
"215","55384",-93.6344466,44.9353307
"216","11421",-73.859549,40.693029
"217","10553",-73.8213213,40.9071072
"218","14204",-78.8637428,42.8801089
"219","55422",-93.3364004,45.0167268
"220","11706",-73.2411506,40.7360384
"221","7630",-74.0211989,40.9750092
"222","33710",-82.723924,27.791959
"223","33483",-80.0590804,26.4670801
"224","7027",-74.3264869,40.6524118
"225","33904",-81.9425701,26.5804293
"226","55443",-93.3337208,45.1243266
"227","8863",-74.3088879,40.5309535
"228","10474",-73.8830701,40.8050442
"229","7704",-74.0358876,40.3610648
"230","53207",-87.9040571,42.9712071
"231","55423",-93.2835137,44.8735964
"232","34231",-82.5131717,27.2612782
"233","6705",-72.9934468,41.5399755
"234","32811",-81.444379,28.5141606
"235","33436",-80.109357,26.5114554
"236","11516",-73.7271909,40.6270365
"237","14853",-76.4830579,42.4467049
"238","11767",-73.1408613,40.8441592
"239","7450",-74.1063776,40.9845896
"240","53405",-87.8255014,42.7333428
"241","55814",-92.19,46.84
"242","32730",-81.3426916,28.6553497
"243","30342",-84.3699767,33.8856615
"244","11375",-73.8457658,40.7245678
"245","35229",-86.8490126,33.4412139
"246","10805",-73.7860276,40.8971093
"247","6605",-73.2116584,41.1687117
"248","7407",-74.1181234,40.9074337
"249","33428",-80.2153998,26.3494101
"250","8110",-75.0552739,39.9701797
"251","7601",-74.0476378,40.8876273
"252","6710",-73.0493825,41.5658733
"253","11229",-73.9447994,40.5988077
"254","10805",-73.7860276,40.8971093
"255","33617",-82.394,28.0362327
"256","10552",-73.8242621,40.9247625
"257","10039",-73.9374517,40.8288377
"258","7009",-74.2296713,40.8589645
"259","11418",-73.8330844,40.6966538
"260","33157",-80.3380213,25.6085924
"261","33617",-82.394,28.0362327
"262","6850",-73.4592701,41.1173012
"263","7503",-74.156292,40.8955467
"264","10282",-74.0152027,40.7167028
"265","53715",-89.4008958,43.0592056
"266","11714",-73.4828374,40.7470968
"267","36849",-85.4929785,32.5909562
"268","33060",-80.1149414,26.237305
"269","8003",-74.955948,39.8817088
"270","11735",-73.4298073,40.7245083
"271","8084",-75.0173035,39.8269198
"272","14613",-77.6364299,43.1816979
"273","10465",-73.8242621,40.8262186
"274","33763",-82.7428057,28.0056225
"275","12604",-73.9001578,41.6940961
"276","8629",-74.7249281,40.2242807
"277","33068",-80.2209773,26.2153627
"278","30340",-84.2542195,33.9025669
"279","8828",-74.4203192,40.3823028
"280","33629",-82.5131717,27.9263478
"281","55421",-93.2599459,45.0563001
"282","32176",-81.0478643,29.2971256
"283","10040",-73.9330429,40.8639624
"284","7508",-74.1885825,40.9567531
"285","6610",-73.1644628,41.2007682
"286","11549",-73.6224729,40.7132609
"287","7311",-74.0375011,40.716828
"288","7063",-74.4467007,40.607053
"289","32810",-81.4246931,28.6235111
"290","10472",-73.8683697,40.8300731
"291","11355",-73.8213213,40.7493096
"292","11598",-73.7095365,40.6294348
"293","55423",-93.2835137,44.8735964
"294","53235",-87.8697056,42.9754355
"295","33756",-82.7940297,27.9413341
"296","34236",-82.5456374,27.3331293
"297","34116",-81.7021049,26.1916102
"298","10303",-74.1739057,40.6311444
"299","33334",-80.1372757,26.180392
"300","7524",-74.156292,40.9300511
"301","30083",-84.1909841,33.7994803
"302","53216",-87.9775787,43.0842021
"303","7008",-74.223802,40.5761692
"304","6854",-73.4239143,41.0924881
"305","33311",-80.1763467,26.142147
"306","7050",-74.2326058,40.7680056
"307","12308",-73.9183464,42.8162941
"308","7010",-73.9859414,40.822166
"309","8902",-74.4818698,40.4430064
"310","14202",-78.8736493,42.8943161
"311","10069",-73.9932872,40.7750791
"312","33142",-80.2377078,25.8127791
"313","11369",-73.8683697,40.7659246
"314","14802",-77.7881176,42.2469977
"315","53216",-87.9775787,43.0842021
"316","8753",-74.1592278,39.9741059
"317","10469",-73.8477874,40.8690303
"318","7110",-74.1533563,40.8235952
"319","10469",-73.8477874,40.8690303
"320","14607",-77.590597,43.1480375
"321","30350",-84.3436881,33.9900649
"322","55416",-93.3439291,44.9465193
"323","33314",-80.2265545,26.0695412
"324","7044",-74.2472779,40.836743
"325","33614",-82.5077593,28.0133862
"326","10465",-73.8242621,40.8262186
"327","33131",-80.1847167,25.76528
"328","11725",-73.2824331,40.8357683
"329","10025",-73.9683102,40.7999209
"330","36604",-88.0656445,30.6804215
"331","11356",-73.8477874,40.7901266
"332","33778",-82.7940297,27.8830677
"333","11369",-73.8683697,40.7659246
"334","14210",-78.8297701,42.8671413
"335","10033",-73.9447994,40.8557765
"336","10566",-73.9183464,41.2916113
"337","10035",-73.9271644,40.794065
"338","55124",-93.1980527,44.7497326
"339","53215",-87.9432837,42.991356
"340","8830",-74.3176876,40.5693929
"341","11756",-73.5181833,40.7226698
"342","30350",-84.3436881,33.9900649
"343","11507",-73.6506776,40.7691114
"344","31401",-81.0809848,32.081259
"345","7112",-74.2120629,40.7132136
"346","11553",-73.5888575,40.7033646
"347","53140",-87.8255007,42.638141
"348","32601",-82.3289111,29.6422516
"349","7762",-74.0241367,40.1601131
"350","11238",-73.9624327,40.6805029
"351","7034",-74.3792737,40.8822334
"352","7028",-74.2032581,40.8034312
"353","11105",-73.9065883,40.7787902
"354","30032",-84.2594861,33.7414395
"355","33060",-80.1149414,26.237305
"356","10069",-73.9932872,40.7750791
"357","36616",-88.04,30.69
"358","7103",-74.197388,40.7383636
"359","10075",-73.9558204,40.7728432
"360","11370",-73.8918897,40.7594109
"361","10601",-73.7683784,41.0322939
"362","32202",-81.6555607,30.3276337
"363","14204",-78.8637428,42.8801089
"364","8901",-74.45185,40.4861552
"365","11789",-72.9755829,40.966609
"366","33142",-80.2377078,25.8127791
"367","11216",-73.9506774,40.6788319
"368","33764",-82.7401087,27.9385015
"369","34743",-81.3564411,28.334712
"370","33016",-80.3352364,25.8925211
"371","7010",-73.9859414,40.822166
"372","33172",-80.360297,25.7858514
"373","30306",-84.3489467,33.7845409
"374","14212",-78.8241068,42.8954613
"375","11232",-74.0079781,40.6560436
"376","35229",-86.8490126,33.4412139
"377","8090",-75.1487007,39.7912581
"378","8751",-74.0828839,39.9483893
"379","30033",-84.2805478,33.8092255
"380","33305",-80.1233175,26.1531223
"381","36111",-86.2615689,32.3405671
"382","14620",-77.6020569,43.1301942
"383","7002",-74.1063776,40.658801
"384","34207",-82.5780878,27.4399922
"385","32301",-84.2542195,30.4305062
"386","7080",-74.4173877,40.56829
"387","11509",-73.7448437,40.5850432
"388","55343",-93.4296446,44.9019949
"389","7041",-74.2971543,40.727549
"390","11726",-73.3973936,40.6777841
"391","34234",-82.5456374,27.3681789
"392","11783",-73.49462,40.6599676
"393","32811",-81.444379,28.5141606
"394","32601",-82.3289111,29.6422516
"395","33314",-80.2265545,26.0695412
"396","13116",-76.0072749,43.0747792
"397","53222",-88.0363086,43.0852217
"398","11796",-73.1025036,40.7325535
"399","7512",-74.223802,40.9025415
"400","11709",-73.5653021,40.906958
"401","8608",-74.7673546,40.2187428
"402","7033",-74.2912872,40.6772404
"403","14204",-78.8637428,42.8801089
"404","11370",-73.8918897,40.7594109
"405","34652",-82.7455027,28.2356313
"406","6604",-73.195196,41.1865502
"407","33014",-80.3045967,25.9109586
"408","33071",-80.2711588,26.2480143
"409","12222",-73.8279381,42.6907733
"410","11557",-73.6918806,40.636775
"411","7064",-74.2443436,40.5715956
"412","33033",-80.4367421,25.4921341
"413","34950",-80.3268812,27.4414482
"414","33139",-80.1484407,25.783312
"415","7508",-74.1885825,40.9567531
"416","7081",-74.3294199,40.699863
"417","34103",-81.806039,26.1917113
"418","7060",-74.4232507,40.6137438
"419","30602",-83.3749322,33.954258
"420","7208",-74.2208673,40.6723782
"421","33132",-80.1679758,25.7700009
"422","6512",-72.886993,41.271102
"423","33312",-80.1819268,26.0898957
"424","33193",-80.4604643,25.6987264
"425","7010",-73.9859414,40.822166
"426","33014",-80.3045967,25.9109586
"427","33144",-80.3129541,25.7621935
"428","53228",-88.0460894,42.9688506
"429","8820",-74.3548452,40.5757563
"430","54302",-87.9775787,44.5087986
"431","14261",-78.7323802,42.9733855
"432","33135",-80.2349196,25.7686714
"433","35218",-86.8972854,33.5061087
"434","11566",-73.5535234,40.6488134
"435","33322",-80.2711588,26.1544576
"436","11005",-73.7110078,40.7568752
"437","6607",-73.1674128,41.1743166
"438","14608",-77.6221091,43.1491054
"439","36111",-86.2615689,32.3405671
"440","7042",-74.2120629,40.821948
"441","12209",-73.7889689,42.6356581
"442","33186",-80.3992652,25.6653934
"443","33306",-80.1121493,26.1640451
"444","32935",-80.6437906,28.1543081
"445","8724",-74.1122506,40.0876046
"446","55413",-93.258095,44.9956414
"447","12604",-73.9001578,41.6940961
"448","7050",-74.2326058,40.7680056
"449","33704",-82.6321376,27.7929237
"450","55443",-93.3337208,45.1243266
"451","53202",-87.8991514,43.0439776
"452","11422",-73.7389596,40.6584068
"453","7712",-74.0593872,40.2448804
"454","8730",-74.0623244,40.1030781
"455","33611",-82.5023464,27.890814
"456","11004",-73.7095365,40.7430884
"457","55429",-93.3429217,45.0726035
"458","33613",-82.4698603,28.0869646
"459","33126",-80.2962385,25.778647
"460","55427",-93.3767976,45.0155422
"461","33709",-82.7401087,27.8219579
"462","11576",-73.6506776,40.7987048
"463","33139",-80.1484407,25.783312
"464","8105",-75.0903154,39.9546859
"465","14043",-78.7079381,42.9007932
"466","33609",-82.5158778,27.9410535
"467","8820",-74.3548452,40.5757563
"468","11718",-73.2676903,40.7276613
"469","7750",-73.9888797,40.3345201
"470","8030",-75.1253492,39.8888931
"471","54911",-88.372493,44.2837065
"472","11742",-73.0346244,40.8085015
"473","8730",-74.0623244,40.1030781
"474","33189",-80.3380213,25.5734243
"475","30322",-84.3259367,33.7980995
"476","8075",-74.955948,40.0223314
"477","30072",-84.2061404,33.7939307
"478","7305",-74.0887576,40.7008528
"479","33325",-80.3324514,26.1059556
"480","11779",-73.1231585,40.8169046
"481","7801",-74.5521869,40.9479587
"482","10461",-73.8360251,40.8476284
"483","33325",-80.3324514,26.1059556
"484","8805",-74.5404694,40.5702869
"485","13088",-76.1841701,43.1085295
"486","8035",-75.064035,39.8783477
"487","33169",-80.2153998,25.9400585
"488","34103",-81.806039,26.1917113
"489","30306",-84.3489467,33.7845409
"490","12206",-73.7860276,42.6757698
"491","33764",-82.7401087,27.9385015
"492","35064",-86.9173327,33.4730218
"493","33904",-81.9425701,26.5804293
"494","7060",-74.4232507,40.6137438
"495","6905",-73.541744,41.0901834
"496","33711",-82.6861446,27.7374908
"497","11746",-73.3590802,40.8126648
"498","35208",-86.8671989,33.5053544
"499","53140",-87.8255007,42.638141
"500","7050",-74.2326058,40.7680056
"501","11550",-73.6241855,40.6986257
"502","33180",-80.1372757,25.9581433
"503","7093",-74.0094471,40.7860123
"504","11354",-73.8272029,40.7699016
"505","7009",-74.2296713,40.8589645
"506","33764",-82.7401087,27.9385015
"507","14043",-78.7079381,42.9007932
"508","55106",-93.0485951,44.9687549
"509","10301",-74.0946311,40.6274394
"510","11793",-73.506402,40.6814503
"511","6519",-72.937198,41.2958246
"512","11746",-73.3590802,40.8126648
"513","55443",-93.3337208,45.1243266
"514","33710",-82.723924,27.791959
"515","10983",-73.9506774,41.0289331
"516","11570",-73.6359602,40.6608095
"517","14204",-78.8637428,42.8801089
"518","32266",-81.4086665,30.3173383
"519","10803",-73.8036752,40.8996475
"520","11950",-72.8456399,40.8093249
"521","33410",-80.0870155,26.8598894
"522","7043",-74.2003231,40.8400532
"523","33763",-82.7428057,28.0056225
"524","7009",-74.2296713,40.8589645
"525","30315",-84.3857442,33.7026678
"526","33441",-80.0926014,26.3058811
"527","11218",-73.9800645,40.6483744
"528","53226",-88.0411993,43.0513426
"529","33612",-82.4427769,28.0563834
"530","10601",-73.7683784,41.0322939
"531","33131",-80.1847167,25.76528
"532","33973",-81.7294702,26.5974704
"533","32808",-81.4388858,28.5775287
"534","6226",-72.2067681,41.7133607
"535","14206",-78.8099472,42.8820351
"536","11758",-73.471054,40.666393
"537","33309",-80.1763467,26.1889227
"538","11717",-73.2411506,40.7754622
"539","33435",-80.0590804,26.5254562
"540","11552",-73.6477342,40.692165
"541","33186",-80.3992652,25.6653934
"542","35216",-86.7919009,33.4306545
"543","7407",-74.1181234,40.9074337
"544","14212",-78.8241068,42.8954613
"545","11596",-73.6447908,40.7583894
"546","11717",-73.2411506,40.7754622
"547","11714",-73.4828374,40.7470968
"548","55407",-93.2533339,44.9398026
"549","10033",-73.9447994,40.8557765
"550","55408",-93.2935778,44.9479791
"551","55428",-93.3811952,45.0527827
"552","33756",-82.7940297,27.9413341
"553","6513",-72.8692711,41.3220272
"554","11360",-73.7801447,40.7779482
"555","8741",-74.1680347,39.937763
"556","33129",-80.2056382,25.7564471
"557","6854",-73.4239143,41.0924881
"558","14217",-78.8778946,42.9752741
"559","10467",-73.8713099,40.8723987
"560","11216",-73.9506774,40.6788319
"561","30067",-84.4697663,33.9290987
"562","10458",-73.88601,40.8621792
"563","10965",-74.0123851,41.0598251
"564","33055",-80.2823063,25.9445817
"565","6114",-72.6683333,41.737618
"566","6269",-72.2511833,41.8193203
"567","32937",-80.593833,28.179854
"568","36849",-85.4929785,32.5909562
"569","13501",-75.2187346,43.0808833
"570","30303",-84.3883717,33.755711
"571","32217",-81.6309078,30.243028
"572","7087",-74.0270745,40.773694
"573","33141",-80.1484407,25.8535635
"574","33185",-80.4604643,25.733888
"575","35209",-86.8069698,33.4702383
"576","8518",-74.8097703,40.1181399
"577","8884",-74.3910019,40.398174
"578","55401",-93.2693572,44.9836543
"579","7205",-74.223802,40.695062
"580","35229",-86.8490126,33.4412139
"581","11422",-73.7389596,40.6584068
"582","7649",-74.0388252,40.9528921
"583","8863",-74.3088879,40.5309535
"584","14609",-77.5504779,43.1770344
"585","7095",-74.2824862,40.5545823
"586","10960",-73.9065883,41.0938791
"587","11731",-73.3119159,40.8647497
"588","7028",-74.2032581,40.8034312
"589","7016",-74.3059546,40.6569929
"590","31698",-83.2850499,30.8449234
"591","30008",-84.5903367,33.8955185
"592","10036",-73.9932872,40.7602619
"593","11795",-73.3060197,40.7111586
"594","55090",-92.9583024,45.0539789
"595","10471",-73.9065883,40.8971509
"596","36849",-85.4929785,32.5909562
"597","53222",-88.0363086,43.0852217
"598","33313",-80.2265545,26.1514248
"599","33617",-82.394,28.0362327
"600","14214",-78.8439268,42.9334868
"601","55406",-93.2231727,44.9406559
"602","33136",-80.2042436,25.7870967
"603","7050",-74.2326058,40.7680056
"604","8618",-74.7863698,40.2450268
"605","11364",-73.7536695,40.7469886
"606","7036",-74.2296713,40.6216016
"607","7057",-74.103441,40.8535873
"608","7080",-74.4173877,40.56829
"609","53110",-87.8598861,42.9460825
"610","55426",-93.3847969,44.954644
"611","10026",-73.9525825,40.8032131
"612","53405",-87.8255014,42.7333428
"613","11106",-73.9271644,40.7595044
"614","6704",-73.0346244,41.5903353
"615","32835",-81.4828198,28.5107872
"616","55075",-93.0275802,44.8759802
"617","7041",-74.2971543,40.727549
"618","11518",-73.6683371,40.6383133
"619","10803",-73.8036752,40.8996475
"620","7010",-73.9859414,40.822166
"621","53226",-88.0411993,43.0513426
"622","6118",-72.6032895,41.7516768
"623","33064",-80.109357,26.2778269
"624","10312",-74.1827119,40.555548
"625","11742",-73.0346244,40.8085015
"626","30008",-84.5903367,33.8955185
"627","33027",-80.3547286,25.9904176
"628","30350",-84.3436881,33.9900649
"629","10018",-73.9932872,40.755322
"630","6604",-73.195196,41.1865502
"631","33907",-81.8716058,26.5588224
"632","33328",-80.2711588,26.0725672
"633","33181",-80.1484407,25.9003878
"634","33173",-80.360297,25.7038331
"635","13902",-75.9065783,42.1017651
"636","7023",-74.3851379,40.6407094
"637","11421",-73.859549,40.693029
"638","14609",-77.5504779,43.1770344
"639","6605",-73.2116584,41.1687117
"640","53405",-87.8255014,42.7333428
"641","11801",-73.5181833,40.7621388
"642","36590",-88.18,30.55
"643","13207",-76.1638823,43.0178864
"644","6905",-73.541744,41.0901834
"645","11801",-73.5181833,40.7621388
"646","10028",-73.9521468,40.7766412
"647","14904",-76.7913558,42.069498
"648","8751",-74.0828839,39.9483893
"649","7062",-74.3997976,40.6303421
"650","33764",-82.7401087,27.9385015
"651","8751",-74.0828839,39.9483893
"652","8812",-74.4818698,40.6019636
"653","7446",-74.1357407,41.062513
"654","34950",-80.3268812,27.4414482
"655","7095",-74.2824862,40.5545823
"656","11225",-73.9565551,40.6648278
"657","53221",-87.9481846,42.9574195
"658","13203",-76.1348944,43.0619897
"659","30072",-84.2061404,33.7939307
"660","10710",-73.8477874,40.9675084
"661","11727",-72.9992013,40.8818158
"662","11050",-73.6948234,40.847001
"663","53703",-89.3724769,43.0833196
"664","30344",-84.448772,33.6832181
"665","32202",-81.6555607,30.3276337
"666","8406",-74.4818698,39.3386704
"667","7079",-74.2590148,40.749443
"668","11220",-74.0153231,40.6385229
"669","11776",-73.0464309,40.9086014
"670","33127",-80.2042436,25.8105183
"671","11228",-74.0153231,40.6137658
"672","33325",-80.3324514,26.1059556
"673","7311",-74.0375011,40.716828
"674","33174",-80.3491599,25.7616792
"675","54301",-88.0167406,44.4812116
"676","8828",-74.4203192,40.3823028
"677","11510",-73.6006342,40.6260153
"678","10033",-73.9447994,40.8557765
"679","14621",-77.6020569,43.1874752
"680","33607",-82.5348172,27.9741076
"681","6519",-72.937198,41.2958246
"682","11231",-74.0094471,40.6772802
"683","10028",-73.9521468,40.7766412
"684","11776",-73.0464309,40.9086014
"685","33463",-80.1316927,26.6064003
"686","54911",-88.372493,44.2837065
"687","14043",-78.7079381,42.9007932
"688","8029",-75.0698754,39.8388611
"689","7044",-74.2472779,40.836743
"690","14605",-77.6020569,43.1683888
"691","53210",-87.9751299,43.0671805
"692","32822",-81.2849169,28.4750405
"693","7070",-74.1093141,40.8248063
"694","30311",-84.4750137,33.7234034
"695","7206",-74.1797766,40.6517773
"696","8108",-75.064035,39.9135471
"697","14604",-77.6063541,43.1581207
"698","33010",-80.2823063,25.839203
"699","11379",-73.8801301,40.7182124
"700","10705",-73.8977693,40.9180569
"701","33301",-80.128901,26.1242719
"702","30812",-82.0161996,33.3701528
"703","8901",-74.45185,40.4861552
"704","14214",-78.8439268,42.9334868
"705","7514",-74.1445487,40.923473
"706","8007",-75.0523534,39.8667532
"707","10954",-74.0123851,41.0991263
"708","14720",-79.2815333,42.1099323
"709","33138",-80.1819268,25.8558416
"710","11509",-73.7448437,40.5850432
"711","8610",-74.7161489,40.1956132
"712","6401",-73.0700421,41.3427765
"713","8021",-75.0026972,39.8073767
"714","10709",-73.8095574,40.9546405
"715","10705",-73.8977693,40.9180569
"716","55102",-93.1127413,44.9343827
"717","7041",-74.2971543,40.727549
"718","11434",-73.7772032,40.6812166
"719","33306",-80.1121493,26.1640451
"720","11204",-73.9859414,40.6195067
"721","10460",-73.8801301,40.841618
"722","53211",-87.879523,43.0824328
"723","53209",-87.9432837,43.1272254
"724","14226",-78.7986181,42.9674726
"725","11516",-73.7271909,40.6270365
"726","34231",-82.5131717,27.2612782
"727","33904",-81.9425701,26.5804293
"728","11223",-73.977126,40.6009233
"729","11762",-73.4474855,40.6826867
"730","53714",-89.3084607,43.099931
"731","7107",-74.1856472,40.7663804
"732","33131",-80.1847167,25.76528
"733","10023",-73.9800645,40.7769059
"734","7432",-74.1386767,40.9965212
"735","7642",-74.0447003,41.0078617
"736","34695",-82.6861446,28.0055309
"737","10003",-73.9874105,40.7322535
"738","53143",-87.8304145,42.564798
"739","55417",-93.2332244,44.903044
"740","11726",-73.3973936,40.6777841
"741","6110",-72.7274495,41.7370975
"742","11572",-73.6359602,40.6311473
"743","10474",-73.8830701,40.8050442
"744","7088",-74.2868868,40.7199369
