"","X","convert_ind","discount","Home_policy_ind","df_prior_carrier","df_cov_package","df_cat_zone","number_drivers","num_loaned_veh","num_owned_veh","num_leased_veh","driver_age","split","freq_agent"
"131",131,NA,0,0,9,0,3,5,1,2,0,160,"Test",1
"132",132,0,0,0,4,1,2,1,0,2,0,18,"Train",0
"133",133,NA,0,0,2,0,1,2,0,1,0,76,"Test",0
"134",134,0,0,0,0,2,0,1,1,1,1,54,"Train",1
"135",135,0,0,0,0,1,1,3,1,1,2,110,"Train",1
"136",136,0,0,0,7,2,0,1,3,3,0,32,"Train",1
"137",137,NA,1,0,3,2,1,2,2,2,1,59,"Test",1
"138",138,0,0,0,0,1,2,3,1,1,1,100,"Train",1
"139",139,NA,1,0,5,1,2,2,3,3,1,62,"Test",0
"140",140,0,0,0,1,0,0,3,1,1,2,85,"Train",1
"141",141,0,0,0,5,2,2,2,1,2,0,78,"Train",1
"142",142,1,0,0,2,0,4,1,1,2,1,83,"Train",1
"143",143,NA,0,0,5,2,0,1,0,1,0,59,"Test",1
"144",144,0,0,0,2,2,1,1,1,1,0,56,"Train",0
"145",145,NA,0,0,0,0,0,2,1,1,0,92,"Test",1
"146",146,0,0,0,0,0,0,3,2,1,0,92,"Train",1
"147",147,0,0,0,0,2,1,2,3,1,1,101,"Train",0
"148",148,NA,1,1,0,0,2,2,1,1,0,134,"Test",1
"149",149,0,0,0,7,2,1,2,1,3,1,91,"Train",1
"150",150,0,0,0,1,0,3,1,0,3,0,51,"Train",1
"151",151,NA,0,0,8,2,4,1,1,2,1,62,"Test",1
"152",152,0,0,0,4,1,0,3,3,2,1,106,"Train",1
"153",153,1,0,0,7,1,2,2,2,1,1,99,"Train",0
"154",154,0,0,0,0,0,0,1,0,2,0,67,"Train",1
"155",155,1,0,0,2,1,2,3,2,1,0,114,"Train",1
"156",156,1,1,1,2,2,0,2,2,3,0,113,"Train",0
"157",157,1,0,0,4,0,0,1,2,1,1,34,"Train",1
"158",158,0,0,0,9,2,0,2,1,2,1,73,"Train",1
"159",159,NA,0,0,9,3,0,3,1,3,0,74,"Test",1
"160",160,1,0,0,8,0,4,5,0,1,2,144,"Train",1
"161",161,1,0,0,9,1,2,2,3,3,0,99,"Train",1
"162",162,0,0,0,6,0,3,1,3,1,0,68,"Train",1
"163",163,0,0,0,0,1,4,6,0,2,0,163,"Train",1
"164",164,NA,0,0,3,0,4,1,1,2,1,57,"Test",1
"165",165,NA,1,0,0,1,1,2,1,1,0,97,"Test",0
"166",166,NA,0,0,0,0,1,4,3,2,0,112,"Test",0
"167",167,0,0,0,9,2,3,3,1,3,0,86,"Train",1
"168",168,0,0,0,4,1,1,1,1,1,0,41,"Train",1
"169",169,0,0,0,4,0,4,3,0,2,1,79,"Train",1
"170",170,NA,0,0,9,1,1,3,2,1,2,112,"Test",1
"171",171,0,1,1,6,2,1,1,3,1,1,35,"Train",1
"172",172,0,0,0,0,2,0,4,1,3,0,117,"Train",1
"173",173,NA,0,0,3,1,2,3,2,2,1,74,"Test",0
"174",174,1,0,0,5,1,1,2,2,2,0,53,"Train",1
"175",175,0,0,0,5,0,4,3,2,2,0,111,"Train",0
"176",176,0,0,0,9,0,4,2,1,1,0,64,"Train",1
"177",177,0,0,0,0,0,4,1,1,3,0,74,"Train",1
"178",178,NA,0,0,4,0,4,1,0,2,1,62,"Test",1
"179",179,NA,0,0,2,0,1,2,1,1,2,111,"Test",1
"180",180,0,1,1,4,0,4,2,0,1,1,67,"Train",0
"181",181,NA,0,0,0,2,2,1,1,1,1,42,"Test",1
"182",182,NA,1,0,4,0,4,2,0,2,1,66,"Test",1
"183",183,0,0,0,4,1,2,3,1,3,1,157,"Train",1
"184",184,NA,1,0,0,2,0,3,2,1,0,85,"Test",1
"185",185,0,0,0,5,1,3,3,2,2,1,120,"Train",1
"186",186,0,0,0,7,1,1,3,1,1,0,113,"Train",0
"187",187,0,0,0,3,0,4,3,2,1,0,68,"Train",1
"188",188,NA,0,0,0,1,0,1,1,2,0,52,"Test",1
"189",189,0,1,1,1,2,1,3,2,2,0,131,"Train",0
"190",190,0,0,0,2,0,3,2,1,2,1,66,"Train",1
"191",191,0,0,0,0,0,4,1,1,1,0,52,"Train",1
"192",192,0,0,0,3,2,0,1,2,1,0,55,"Train",1
"193",193,0,1,1,5,1,1,1,1,2,0,54,"Train",1
"194",194,0,0,0,9,2,1,1,0,2,2,52,"Train",1
"195",195,NA,1,0,0,2,1,2,0,2,0,69,"Test",1
"196",196,0,1,1,4,2,1,1,1,2,1,33,"Train",0
"197",197,0,0,0,4,2,0,3,1,2,2,90,"Train",1
"198",198,0,1,0,1,2,1,6,2,1,1,196,"Train",1
"199",199,0,0,0,9,1,2,2,1,1,0,64,"Train",1
"200",200,0,0,0,0,0,4,2,2,2,2,90,"Train",1
"201",201,0,0,0,0,2,1,2,1,3,0,78,"Train",1
"202",202,0,0,0,5,1,3,5,2,1,1,146,"Train",1
"203",203,NA,0,0,5,0,3,1,3,3,0,47,"Test",1
"204",204,0,0,0,2,1,1,2,3,3,1,80,"Train",0
"205",205,0,1,1,6,2,0,3,0,1,1,99,"Train",1
"206",206,0,0,0,7,0,3,1,1,1,0,33,"Train",1
"207",207,NA,1,1,7,2,3,2,1,2,0,115,"Test",1
"208",208,0,0,0,4,0,4,1,1,1,0,17,"Train",1
"209",209,1,0,0,8,1,2,1,1,1,0,40,"Train",0
"210",210,0,0,0,6,1,1,2,1,1,1,116,"Train",1
"211",211,NA,0,0,6,0,4,2,1,2,1,101,"Test",1
"212",212,NA,0,0,2,2,0,1,0,2,0,32,"Test",1
"213",213,0,0,0,1,1,0,5,3,1,1,127,"Train",0
"214",214,0,0,0,6,1,1,1,1,2,0,19,"Train",1
"215",215,1,0,0,4,1,1,1,2,1,0,38,"Train",1
"216",216,NA,1,1,7,1,1,2,2,2,0,60,"Test",1
"217",217,0,0,0,3,1,0,2,1,3,0,88,"Train",1
"218",218,0,0,0,7,2,0,3,3,2,1,98,"Train",1
"219",219,0,0,0,4,2,1,2,2,1,0,111,"Train",1
"220",220,NA,0,0,7,2,3,3,3,1,1,117,"Test",1
"221",221,0,0,0,4,1,2,3,2,2,1,97,"Train",1
"222",222,0,0,0,4,2,1,1,0,2,1,57,"Train",1
"223",223,NA,0,0,1,1,4,1,0,1,0,32,"Test",1
"224",224,0,0,0,0,1,0,3,1,3,0,124,"Train",1
"225",225,NA,0,0,9,2,1,2,2,2,2,75,"Test",1
"226",226,0,0,0,0,1,4,2,2,1,1,90,"Train",1
"227",227,0,0,0,3,2,0,3,3,1,0,91,"Train",0
"228",228,NA,1,1,0,1,0,1,0,1,0,17,"Test",1
"229",229,0,1,1,3,2,1,2,1,2,0,83,"Train",0
"230",230,0,0,0,0,1,4,3,0,1,0,73,"Train",1
"231",231,1,0,0,9,1,2,2,1,1,1,86,"Train",1
"232",232,0,0,0,9,1,3,3,2,3,1,105,"Train",1
"233",233,NA,1,0,4,1,2,1,1,1,0,35,"Test",1
"234",234,0,0,0,1,2,3,1,1,1,0,49,"Train",1
"235",235,NA,0,0,6,1,2,5,3,1,1,155,"Test",1
"236",236,NA,0,0,4,2,0,3,0,1,0,109,"Test",1
"237",237,NA,0,0,2,2,0,1,2,1,0,38,"Test",0
"238",238,1,0,0,4,2,0,2,0,1,0,105,"Train",1
"239",239,0,1,1,0,2,2,2,2,1,0,97,"Train",1
"240",240,0,0,0,1,0,1,1,0,1,0,59,"Train",0
"241",241,NA,1,0,5,0,0,5,1,2,0,161,"Test",1
"242",242,NA,0,0,6,1,0,3,1,2,1,73,"Test",0
"243",243,0,1,1,1,0,4,1,2,3,0,56,"Train",0
"244",244,0,0,0,7,1,3,2,1,2,0,114,"Train",1
"245",245,0,0,0,0,0,4,3,2,3,1,74,"Train",1
"246",246,0,0,0,4,1,2,2,3,2,1,85,"Train",0
"247",247,0,0,0,9,1,2,2,0,2,0,119,"Train",1
"248",248,NA,0,0,2,0,3,2,1,1,1,82,"Test",1
"249",249,0,0,0,6,2,0,3,0,2,2,66,"Train",1
"250",250,0,1,0,4,1,0,3,0,1,1,76,"Train",1
"251",251,0,0,0,4,1,2,4,2,2,0,125,"Train",1
"252",252,0,1,1,8,2,1,2,0,1,1,67,"Train",0
"253",253,0,0,0,9,1,2,1,0,2,1,16,"Train",1
"254",254,0,1,0,0,0,1,1,2,2,0,18,"Train",0
"255",255,0,0,0,7,2,1,2,3,2,0,101,"Train",1
"256",256,0,0,0,0,2,1,5,3,2,1,180,"Train",0
"257",257,1,0,0,7,0,1,2,1,3,2,63,"Train",1
"258",258,0,0,0,5,1,1,5,1,1,0,117,"Train",1
"259",259,0,0,0,7,0,4,2,2,1,1,51,"Train",1
"260",260,NA,1,1,6,1,1,4,2,3,2,127,"Test",1
"261",261,NA,0,0,8,1,2,1,1,3,0,17,"Test",0
"262",262,NA,0,0,1,1,3,1,0,1,0,48,"Test",1
"263",263,NA,0,0,5,1,2,3,3,1,0,95,"Test",0
"264",264,0,0,0,4,2,2,2,0,3,1,68,"Train",1
"265",265,NA,0,0,2,1,2,1,2,2,0,57,"Test",1
"266",266,0,0,0,2,1,4,3,1,1,0,87,"Train",1
"267",267,NA,1,0,7,0,4,2,0,1,1,130,"Test",1
"268",268,1,0,0,4,2,0,2,0,1,0,63,"Train",1
"269",269,0,0,0,7,2,0,1,2,1,0,19,"Train",1
"270",270,0,0,0,5,1,2,1,2,1,0,53,"Train",1
"271",271,1,1,1,4,1,1,2,1,2,0,112,"Train",0
"272",272,0,0,0,4,0,4,2,1,1,0,64,"Train",1
"273",273,NA,0,0,1,1,2,1,1,2,0,39,"Test",1
"274",274,0,1,1,9,2,0,1,1,1,0,17,"Train",1
"275",275,0,0,0,0,0,0,2,0,1,0,67,"Train",0
"276",276,NA,1,1,9,2,2,1,0,2,2,44,"Test",0
"277",277,1,0,0,7,0,3,1,1,2,2,66,"Train",1
"278",278,NA,0,0,7,1,2,3,1,3,1,75,"Test",0
"279",279,NA,0,0,2,1,0,3,1,1,0,103,"Test",0
"280",280,0,0,0,0,1,2,2,2,1,0,77,"Train",1
"281",281,0,0,0,5,0,4,6,1,2,1,190,"Train",1
"282",282,0,1,1,9,0,2,2,2,3,0,114,"Train",0
"283",283,0,0,0,0,0,3,1,1,1,2,47,"Train",1
"284",284,NA,0,0,2,0,3,2,1,1,0,110,"Test",1
"285",285,NA,0,0,1,2,0,1,1,2,1,18,"Test",0
"286",286,NA,0,0,6,1,2,1,1,2,1,39,"Test",1
"287",287,0,0,0,4,2,1,2,3,2,1,114,"Train",1
"288",288,1,0,0,5,2,1,2,2,1,1,91,"Train",1
"289",289,NA,0,0,1,0,4,1,2,2,0,39,"Test",1
"290",290,0,0,0,5,0,4,2,1,2,0,101,"Train",1
"291",291,0,1,0,4,1,1,2,2,1,2,79,"Train",1
"292",292,1,0,0,7,1,1,2,1,2,1,139,"Train",1
"293",293,NA,0,0,6,2,1,2,2,1,0,95,"Test",1
"294",294,0,1,1,6,1,1,5,2,1,0,168,"Train",1
"295",295,0,1,0,9,2,0,2,0,1,0,122,"Train",1
"296",296,0,0,0,7,1,0,1,0,1,1,41,"Train",1
"297",297,0,1,0,4,1,2,1,1,1,1,50,"Train",0
"298",298,0,0,0,8,1,2,2,1,1,1,76,"Train",0
"299",299,0,1,1,1,1,3,1,2,1,0,60,"Train",0
"300",300,0,0,0,3,1,3,4,2,1,0,107,"Train",0
"301",301,NA,1,1,0,0,4,6,2,3,1,168,"Test",1
"302",302,NA,1,1,3,0,4,3,3,1,0,88,"Test",1
"303",303,0,0,0,4,2,0,3,3,3,0,109,"Train",1
"304",304,NA,0,0,3,0,4,1,1,3,0,53,"Test",1
"305",305,1,1,0,7,2,1,1,1,1,0,47,"Train",1
"306",306,0,1,1,0,1,2,4,1,1,1,117,"Train",1
"307",307,1,0,0,7,1,2,1,1,1,1,17,"Train",0
"308",308,0,0,0,0,2,0,2,2,1,0,86,"Train",1
"309",309,0,0,0,2,1,0,2,2,2,0,111,"Train",1
"310",310,0,0,0,4,0,0,1,0,3,0,33,"Train",1
"311",311,0,0,0,5,2,0,1,2,2,0,17,"Train",1
"312",312,NA,0,0,8,0,4,5,0,1,0,143,"Test",1
"313",313,0,0,0,4,2,1,1,1,2,0,41,"Train",1
"314",314,0,0,0,2,1,0,2,1,1,0,45,"Train",1
"315",315,0,1,1,7,0,0,3,2,1,1,88,"Train",1
"316",316,0,1,0,9,1,2,2,1,2,0,93,"Train",1
"317",317,0,0,0,3,0,3,2,2,1,0,68,"Train",1
"318",318,NA,0,0,3,2,3,3,0,3,0,78,"Test",1
"319",319,0,0,0,5,0,4,3,2,3,2,116,"Train",1
"320",320,NA,0,0,4,0,4,2,2,2,0,95,"Test",1
"321",321,NA,0,0,0,0,3,1,1,1,1,62,"Test",1
"322",322,NA,1,0,7,0,4,2,3,3,0,127,"Test",1
"323",323,0,0,0,5,0,4,2,3,3,0,61,"Train",1
"324",324,0,0,0,5,1,1,3,0,1,0,96,"Train",1
"325",325,0,0,0,4,0,4,2,1,1,0,94,"Train",1
"326",326,0,1,0,7,1,4,1,2,3,2,37,"Train",1
"327",327,0,1,0,1,1,1,5,1,2,0,169,"Train",1
"328",328,NA,0,0,0,0,4,3,2,2,1,104,"Test",1
"329",329,0,1,0,5,1,1,1,2,1,1,63,"Train",1
"330",330,NA,0,0,5,0,1,2,1,1,0,79,"Test",0
"331",331,0,0,0,4,0,4,2,2,1,0,92,"Train",1
"332",332,NA,1,0,0,1,1,1,2,1,2,60,"Test",1
"333",333,0,0,0,9,1,0,2,2,3,0,100,"Train",1
"334",334,0,0,0,7,1,1,2,2,1,2,114,"Train",0
"335",335,0,0,0,9,0,3,4,1,1,0,123,"Train",1
"336",336,0,0,0,4,1,1,1,1,1,0,17,"Train",1
"337",337,0,1,1,7,1,1,1,1,1,1,56,"Train",1
"338",338,0,0,0,0,1,3,2,1,2,0,62,"Train",0
"339",339,0,1,1,6,0,3,3,1,2,0,131,"Train",1
"340",340,0,0,0,3,1,1,1,2,1,0,19,"Train",0
"341",341,0,0,0,7,1,4,1,2,1,1,34,"Train",1
"342",342,0,1,1,5,0,3,2,0,2,0,85,"Train",1
"343",343,0,1,0,0,1,2,2,1,1,0,107,"Train",1
"344",344,0,0,0,6,0,4,1,1,3,0,51,"Train",0
"345",345,0,1,1,5,0,4,2,0,3,0,108,"Train",1
"346",346,0,1,1,7,0,1,1,2,1,0,65,"Train",1
"347",347,0,1,0,5,0,1,2,1,3,0,138,"Train",0
"348",348,0,0,0,5,0,4,2,1,3,0,52,"Train",0
"349",349,0,0,0,9,2,3,1,1,2,0,44,"Train",1
"350",350,0,0,0,0,3,3,1,2,2,0,17,"Train",1
"351",351,1,1,1,2,1,1,1,2,1,0,63,"Train",0
"352",352,NA,0,0,4,2,0,5,0,2,0,111,"Test",1
"353",353,0,0,0,0,0,4,2,1,3,0,102,"Train",1
"354",354,0,0,0,0,3,0,1,1,3,2,61,"Train",0
"355",355,0,0,0,1,0,3,3,2,1,0,97,"Train",1
"356",356,0,0,0,6,0,3,2,2,2,1,110,"Train",1
"357",357,0,0,0,2,0,4,3,1,1,0,83,"Train",0
"358",358,0,0,0,4,1,1,5,0,2,0,142,"Train",1
"359",359,0,0,0,9,0,3,2,1,1,2,58,"Train",1
"360",360,0,0,0,8,2,0,3,2,3,0,97,"Train",1
"361",361,NA,0,0,4,1,1,3,0,1,1,90,"Test",1
"362",362,NA,0,0,8,1,1,5,2,2,2,146,"Test",0
"363",363,0,0,0,2,1,1,1,1,1,0,59,"Train",0
"364",364,0,0,0,2,1,2,3,0,1,2,87,"Train",1
"365",365,NA,0,0,9,0,0,1,0,2,0,19,"Test",1
"366",366,1,0,0,4,0,0,2,0,2,1,117,"Train",1
"367",367,0,0,0,6,1,1,2,2,1,0,89,"Train",1
"368",368,0,0,0,3,2,3,2,1,1,0,64,"Train",1
"369",369,0,0,0,4,0,3,2,1,2,0,65,"Train",1
"370",370,NA,0,0,9,0,4,1,1,1,1,61,"Test",1
"371",371,0,0,0,5,2,1,1,2,2,0,20,"Train",1
"372",372,0,0,0,1,2,1,1,2,1,0,21,"Train",1
"373",373,NA,0,0,1,1,0,1,1,1,0,73,"Test",1
"374",374,0,0,0,5,2,4,1,2,2,0,51,"Train",1
"375",375,NA,0,0,2,1,2,2,2,1,0,126,"Test",0
"376",376,NA,0,0,6,0,3,1,2,1,1,53,"Test",1
"377",377,NA,0,0,4,1,3,1,2,2,0,51,"Test",0
"378",378,1,0,0,5,2,0,2,1,2,1,95,"Train",1
"379",379,0,0,0,9,0,4,2,2,1,0,102,"Train",1
"380",380,0,0,0,8,1,2,2,0,1,0,121,"Train",1
"381",381,0,0,0,2,0,2,3,2,3,1,90,"Train",0
"382",382,NA,0,0,1,1,1,3,0,1,0,111,"Test",1
"383",383,0,1,1,0,2,2,2,1,2,0,57,"Train",1
"384",384,0,1,0,6,1,4,3,0,1,1,167,"Train",1
"385",385,1,0,0,1,1,2,1,3,1,1,38,"Train",1
"386",386,NA,1,1,9,2,0,3,2,3,0,101,"Test",0
"387",387,NA,0,0,6,1,2,2,0,3,1,91,"Test",0
"388",388,0,0,0,0,2,0,3,2,1,0,151,"Train",1
"389",389,0,0,0,2,0,4,2,2,2,0,121,"Train",0
"390",390,0,1,1,0,0,4,1,0,2,1,58,"Train",1
"391",391,0,1,1,1,1,3,1,0,1,0,40,"Train",1
"392",392,0,0,0,4,1,3,1,1,1,0,57,"Train",1
"393",393,NA,0,0,3,1,2,1,2,1,1,20,"Test",1
"394",394,0,0,0,8,0,4,1,2,1,1,32,"Train",0
"395",395,1,0,0,6,1,1,2,1,1,0,98,"Train",1
"396",396,NA,1,0,9,2,0,2,0,3,1,77,"Test",0
"397",397,NA,0,0,9,1,2,1,2,1,0,38,"Test",0
"398",398,NA,0,0,7,0,3,2,2,3,0,75,"Test",0
"399",399,0,0,0,5,1,2,1,2,1,0,48,"Train",0
"400",400,0,0,0,3,0,3,2,0,3,1,121,"Train",1
"401",401,0,0,0,5,1,2,1,1,1,1,40,"Train",1
"402",402,0,0,0,5,2,0,1,1,1,1,45,"Train",1
"403",403,0,0,0,4,1,0,3,2,1,0,125,"Train",1
"404",404,NA,1,1,4,1,0,2,1,2,1,100,"Test",1
"405",405,0,1,1,0,2,0,4,2,2,0,144,"Train",1
"406",406,0,0,0,7,2,0,2,1,1,1,133,"Train",1
"407",407,0,0,0,4,1,1,3,1,3,0,76,"Train",1
"408",408,NA,0,0,4,1,0,2,0,2,0,136,"Test",1
"409",409,0,0,0,0,1,2,2,0,1,1,101,"Train",1
"410",410,0,1,1,2,1,0,1,0,1,0,67,"Train",1
"411",411,NA,0,0,4,2,2,1,2,2,2,38,"Test",1
"412",412,0,1,0,1,2,0,1,3,1,1,52,"Train",1
"413",413,NA,1,0,4,2,1,1,2,1,2,68,"Test",0
"414",414,0,0,0,3,2,1,1,2,1,0,51,"Train",1
"415",415,NA,0,0,5,2,0,1,2,2,0,55,"Test",1
