discount,Home_policy_ind,m_living_status,m_ownership,df_prior_carrier,df_cov_package,df_cat_zone,quoted_amt,credit_score,number_drivers,num_loaned_veh,num_owned_veh,num_leased_veh,driver_age,n_safty_rating,car_age,n_car,lon,lat,state_id,Agent_cd,num_date,county_name,n_gender,max_high_edu
0,0,2,2,2,1,0,2639,633,3,2,1,1,32,84,6,2,-73.529964,40.6651384,5,33105135,17334.625,104,-1,0
0,0,2,1,3,1,0,7790,600,2,0,2,1,40,84,8,2,-86.9173327,33.4730218,1,96624968,16908.625,45,0,1
0,0,1,0,4,2,3,6319,587,1,1,2,0,39,73,4,3,-72.6032895,41.7516768,3,73414226,17528.625,16,1,0
0,0,0,0,8,1,3,1436,726,3,0,1,0,23,77,5,2,-73.1231585,41.228775,3,81956955,17231.625,107,3,1
0,0,0,0,2,1,3,2713,643,5,0,2,0,29,41,5,3,-73.195196,41.1865502,3,84041118,16581.625,107,3,1
0,0,0,0,9,1,2,2862,657,4,3,2,1,37,63,2,2,-81.5706109,30.2906907,0,50125954,16797.625,56,2,0
0,0,2,0,5,0,1,2453,641,2,0,1,0,73,48,3,2,-75.0026972,39.8073767,6,23732039,16445.625,99,-2,0
0,0,0,1,7,2,3,16251,595,4,2,3,0,26,75,4,4,-87.962884,43.0499798,2,80780511,17125.625,53,0,1
0,0,0,0,9,2,4,5891,639,3,2,3,0,31,68,8,2,-73.706594,40.7006866,5,32759856,16519.625,104,1,1
0,0,1,0,2,0,1,1516,772,2,0,1,1,41,76,7,2,-73.9976946,40.8485005,6,57243398,16860.625,93,-2,1
0,0,0,0,9,1,0,33692,582,4,1,1,0,21,74,2,1,-84.377861,33.7440941,4,82851084,16577.625,19,2,1
0,0,1,0,1,0,0,892,765,1,1,2,1,72,74,4,2,-80.2934522,25.6993807,0,19952087,16799.625,81,1,1
1,1,2,1,7,0,0,872,746,1,0,1,1,41,79,5,3,-93.3132624,45.1670628,7,23236641,17452.625,105,1,1
0,0,2,2,0,1,2,3182,622,1,1,2,0,54,67,4,2,-74.0329499,40.7300567,6,84042089,17147.625,58,1,1
0,0,2,1,3,0,1,2566,734,1,2,1,0,46,74,3,2,-74.1797766,40.6517773,6,92863058,16913.625,98,1,1
0,0,2,0,0,2,0,3374,684,1,1,1,0,39,72,5,2,-92.131325,46.7619249,7,64916663,16870.625,25,-1,1
0,0,2,0,4,1,1,5466,686,1,1,1,0,56,54,5,3,-73.9271644,40.6903213,5,36098529,16885.625,50,-1,0
0,0,1,1,2,2,4,22601,580,1,2,1,0,43,86,4,2,-84.4697663,33.9290987,4,91290988,16548.625,33,1,1
0,0,0,1,0,1,0,1582,803,5,2,1,0,30,55,7,2,-74.223802,40.9025415,6,73501046,17594.625,109,1,1
0,0,2,0,0,1,2,5087,599,1,2,1,1,39,86,6,2,-73.7742616,41.0233153,5,34175014,17882.625,94,1,1
0,0,2,0,6,0,2,2881,665,2,1,1,0,54,79,6,2,-81.1802619,28.5898683,0,51939739,17583.625,49,-2,1
0,0,0,1,4,1,0,7358,531,4,1,1,1,21,62,4,3,-73.1231585,40.8169046,5,82604802,16450.625,88,2,1
0,0,1,0,2,1,1,3818,649,1,1,1,1,51,62,5,3,-77.6221091,43.1491054,5,61703618,17059.625,26,-1,1
0,0,1,0,7,0,1,1935,717,3,3,3,0,47,64,7,2,-81.3509416,28.5950986,0,38080614,17341.625,49,-1,0
0,0,1,0,7,0,2,1325,814,2,2,1,1,65,84,5,1,-73.9212858,40.8721452,5,83930923,16513.625,78,0,1
1,1,2,0,2,0,0,1016,725,1,1,1,1,48,56,2,1,-72.9283391,41.3212912,3,45552092,16637.625,35,1,1
1,1,1,1,4,1,1,3902,653,1,0,1,0,41,73,4,3,-80.1791368,26.2563391,0,13469725,16515.625,12,-1,0
0,0,0,0,4,1,1,3720,627,1,1,2,1,17,81,3,1,-75.0319086,39.9671069,6,57316954,17857.625,99,1,0
0,0,2,0,9,2,4,9640,610,1,0,1,1,34,67,4,2,-73.9800645,40.6681669,5,45018254,16582.625,50,1,1
0,0,2,1,4,1,2,9165,591,2,0,3,0,40,81,4,2,-93.2524636,45.1688065,7,65027176,17719.625,105,0,1
0,0,1,0,2,1,1,8285,470,3,1,3,1,39,67,5,3,-74.0079781,40.2114561,6,31741634,16738.625,4,-1,0
0,0,1,1,7,3,3,26094,502,2,1,2,0,54,74,8,2,-87.8647961,42.9121206,2,22922012,17139.625,53,2,1
0,0,2,0,0,0,1,1403,724,1,1,1,1,52,71,6,2,-81.3564411,28.5085825,0,31802498,17055.625,49,1,1
0,0,0,0,0,1,1,2131,688,1,1,1,0,19,53,6,1,-73.0759446,40.8688263,5,83056996,17892.625,88,1,0
0,0,2,0,4,0,4,1720,779,1,3,2,0,47,81,6,2,-80.2377078,25.8830363,0,77037605,16913.625,81,1,0
1,1,1,0,7,1,0,18315,607,1,0,2,0,69,78,8,1,-84.2436849,33.8019475,4,32202645,16928.625,73,-1,1
0,0,2,1,8,2,0,19464,593,3,1,2,0,38,87,7,3,-87.9751299,43.0671805,2,70567811,16786.625,53,1,1
0,0,0,0,5,1,1,4140,597,3,2,1,0,27,61,4,3,-74.1181234,40.6307451,5,57468107,17692.625,69,-1,1
0,0,0,1,4,1,2,1387,739,1,0,2,0,18,49,5,2,-93.2734517,44.8365032,7,41926877,17880.625,44,-1,0
0,0,2,0,0,0,0,4670,652,1,1,1,1,54,75,4,2,-73.9653715,40.8562383,6,55864316,16775.625,93,1,1
0,0,2,0,0,1,1,10724,563,3,1,1,2,37,70,5,3,-73.3767641,40.6821467,5,26471273,16581.625,88,-1,1
0,0,2,0,7,0,0,5840,732,1,3,3,0,32,54,3,1,-73.1408613,40.8441592,5,18466820,17040.625,88,-1,0
0,0,1,0,0,1,2,5145,699,3,1,1,1,33,70,6,2,-73.1172573,40.8602892,5,45415404,16540.625,88,-1,1
0,0,0,0,1,2,0,11693,550,3,1,1,2,28,68,4,2,-88.0167406,43.0169374,2,13763026,17401.625,53,1,1
0,0,0,1,5,0,2,5222,656,2,1,2,0,39,83,7,2,-74.0623244,40.1030781,6,98871527,16859.625,4,2,0
0,0,2,1,2,2,4,1445,714,1,1,2,1,83,97,5,2,-74.0623244,40.1030781,6,98871527,17005.625,4,1,1
0,0,2,0,2,0,1,1744,635,1,1,1,0,56,93,8,2,7.5623594,50.3143821,7,52546682,17013.625,54,-1,0
0,0,0,0,0,2,0,7991,574,3,2,1,0,31,56,1,1,-73.3296037,40.7343811,5,95505089,16991.625,88,-1,1
0,0,1,0,0,0,1,4698,626,2,3,1,1,50,65,4,2,-72.7629126,41.752238,3,14390670,16505.625,16,-2,1
0,0,1,0,7,0,1,891,789,2,1,3,1,46,72,6,2,-93.3337208,45.1243266,7,41926877,16490.625,44,0,1
0,0,2,0,1,2,3,10345,628,1,0,3,0,51,85,3,2,-88.0460894,42.9980102,2,22922012,16476.625,53,1,0
0,0,0,0,4,1,0,1152,707,3,3,2,1,35,64,4,2,-80.2711588,26.2480143,0,51210580,17149.625,12,-3,1
0,0,1,0,7,1,2,3300,659,2,2,1,1,50,42,6,2,-80.3992652,25.6653934,0,13469725,16784.625,81,2,1
0,0,2,0,0,2,0,7045,564,1,0,2,0,67,86,4,1,-80.2711588,25.7564662,0,30936831,16499.625,81,1,1
0,0,1,1,2,1,2,4958,652,3,2,1,0,38,77,5,2,-73.5211286,41.0994238,3,53062436,17763.625,107,1,1
1,1,1,0,2,0,0,5629,673,2,2,3,0,56,68,6,2,-75.0903154,39.9546859,6,23732039,17739.625,99,2,1
0,0,1,0,4,2,0,5097,623,1,2,1,1,34,73,5,4,-73.8095574,40.7031635,5,93926952,17095.625,29,1,1
0,0,0,0,9,0,0,3841,645,2,1,2,1,36,70,5,4,-80.0870155,26.8598894,0,90724904,17114.625,97,0,1
0,0,0,0,8,2,4,9445,597,5,0,1,2,29,58,8,2,-73.9477384,41.1929636,5,79794713,17769.625,86,3,1
0,0,1,0,9,1,2,2551,709,2,3,3,0,50,90,5,4,-93.2231727,44.9406559,7,21831603,16961.625,44,2,0
0,0,2,1,6,2,3,1870,750,1,3,1,0,68,72,6,4,-72.9934468,41.5399755,3,92666056,16500.625,35,1,1
0,0,0,1,0,1,4,6763,516,6,0,2,0,27,64,4,3,-87.9383822,43.0543956,2,18772661,16520.625,53,6,1
0,0,0,0,9,0,3,2307,721,3,1,3,0,29,75,1,1,-80.4048306,25.6950625,0,16509296,16938.625,81,-1,0
0,0,2,1,4,1,1,2647,652,1,1,1,0,41,64,4,2,-73.9947563,41.0229118,6,41514566,17058.625,93,-1,1
0,0,0,0,4,2,4,4870,639,3,0,2,1,26,68,5,2,-73.9212858,40.8376318,5,52221775,16657.625,1,-1,1
1,1,1,0,6,0,1,21856,520,1,3,1,1,35,38,6,2,-87.9751299,43.0671805,2,22922012,16739.625,53,-1,0
0,0,0,1,0,0,0,5035,667,4,1,3,0,29,66,5,4,-83.8952525,33.5739691,4,25213873,16746.625,3,2,1
0,0,0,0,5,1,1,3938,686,2,2,2,0,26,74,5,2,-74.4203192,40.3823028,6,90092184,17332.625,110,-2,0
0,0,1,1,5,2,4,17390,496,3,2,2,0,37,67,4,3,-88.3093517,44.2875258,2,71812579,17704.625,46,-1,1
0,0,0,0,9,2,4,560,761,2,1,1,0,32,57,4,2,-73.7095365,40.6294348,5,33105135,16472.625,104,0,0
0,0,1,1,0,2,4,2517,701,1,1,3,0,74,84,4,2,-80.3268812,25.9358702,0,37520067,16688.625,81,1,1
1,1,0,0,4,2,4,24143,549,2,0,1,1,34,78,7,4,-86.8512078,33.5199899,1,38776020,17155.625,45,0,0
0,0,2,0,4,1,2,5532,574,3,1,3,1,52,69,4,2,-75.0786357,39.8525918,6,92780431,17686.625,99,1,0
0,0,2,0,5,1,3,10533,541,3,2,2,1,40,61,5,2,-87.997164,42.9388315,2,42603732,16792.625,53,-1,1
0,0,2,1,7,1,1,3081,606,3,1,1,0,38,59,5,4,-73.6241855,40.6986257,5,33105135,17815.625,104,3,1
0,0,0,0,3,2,4,19429,561,3,2,1,0,23,71,6,2,-87.997164,43.0457293,2,50872918,16618.625,53,1,0
1,1,1,1,1,0,1,3952,689,3,2,2,0,44,76,3,2,-79.2815333,42.1099323,5,94092553,16451.625,36,1,1
0,0,0,0,2,2,3,3961,672,2,1,2,1,33,68,6,2,-72.6712894,41.7888066,3,33015616,17567.625,16,0,1
0,0,2,0,0,2,4,4693,577,1,1,1,0,52,58,4,4,-76.1841701,43.1085295,5,94264582,16760.625,13,1,1
0,0,1,0,3,0,0,1749,789,1,2,1,0,55,75,6,3,-74.223802,40.5761692,6,20720350,17127.625,110,-1,1
1,1,2,0,5,1,1,2008,610,1,1,2,0,54,88,4,2,-73.8257325,40.9606542,5,68907621,17131.625,94,1,0
0,0,2,0,9,0,1,1731,727,1,0,2,2,52,61,6,2,-73.9918181,40.8624613,6,98501067,16868.625,93,1,1
1,1,1,0,4,0,1,2629,667,1,1,2,1,33,93,7,2,-80.1540226,26.5145591,0,96725053,17105.625,97,-1,0
0,0,1,1,4,0,0,1453,777,3,1,2,2,30,62,4,2,-93.3337208,45.1243266,7,62506858,16784.625,44,-1,1
1,0,0,0,1,0,1,8291,545,6,2,1,1,33,72,4,2,-86.9173327,33.4730218,1,16454309,16712.625,45,-4,1
0,0,0,0,9,1,2,1853,770,2,1,1,0,32,67,5,2,-74.2824862,40.4751425,6,61987933,16943.625,110,2,1
0,0,2,0,0,2,4,13867,676,2,2,2,2,45,74,4,2,-73.6506776,40.7987048,5,32759856,16960.625,104,2,1
0,0,1,1,0,0,1,1180,740,2,1,3,0,39,84,5,2,-93.4296446,44.9019949,7,62735452,17565.625,44,0,1
0,0,0,0,5,1,3,9557,597,5,2,1,1,29,62,6,3,-73.859549,40.9199758,5,37080761,17893.625,94,-1,1
0,0,0,0,2,1,1,1662,762,2,3,3,1,40,48,4,3,-73.0493825,41.5658733,3,81956955,17722.625,35,0,1
1,1,0,1,6,0,0,2244,653,3,0,1,1,33,66,5,2,-80.1037721,26.7619563,0,75654019,16810.625,97,-3,1
0,0,1,0,7,2,3,6656,570,1,1,1,0,33,74,4,3,-77.6364299,43.1530599,5,96713748,17862.625,26,-1,1
0,0,0,1,4,2,4,4514,629,1,1,1,0,17,77,8,2,-82.5023464,27.890814,0,62221276,17637.625,100,-1,0
0,0,1,0,8,1,2,2966,676,1,1,1,0,40,74,5,2,-81.5925427,30.3378989,0,13469725,17048.625,56,-1,1
0,0,1,0,6,1,1,2489,657,2,1,1,1,58,64,8,2,-81.3564411,28.5085825,0,31802498,16803.625,49,0,1
0,0,0,0,1,1,0,2765,692,5,3,1,1,25,75,7,2,-72.2511833,41.8193203,3,65928539,17669.625,37,-1,1
0,0,0,0,6,1,1,1005,742,1,1,2,0,19,49,4,3,-81.8115051,26.4792352,0,24803436,16767.625,41,1,0
0,0,2,1,4,1,1,1714,689,1,2,1,0,38,75,3,3,-93.6344466,44.9353307,7,28009950,17821.625,44,1,1
0,0,1,0,3,1,0,4687,679,2,1,3,0,44,72,6,2,-73.8213213,40.9071072,5,53323320,16439.625,94,0,1
0,0,1,0,7,0,0,1461,671,3,3,2,1,33,70,5,3,-78.8637428,42.8801089,5,84945652,17404.625,67,1,1
0,0,1,0,4,0,1,2909,657,2,2,1,0,56,74,5,2,-93.3364004,45.0167268,7,21831603,16885.625,44,0,1
0,0,0,0,4,1,2,863,774,3,2,2,1,32,74,6,2,-74.0211989,40.9750092,6,72727367,17585.625,93,3,1
0,0,2,1,4,0,1,2339,688,1,0,2,1,57,62,6,2,-82.723924,27.791959,0,66891179,17174.625,85,1,0
0,0,1,0,0,1,0,2169,706,3,1,3,0,41,73,7,2,-74.3264869,40.6524118,6,83514693,17612.625,98,3,1
0,0,2,1,0,1,4,1162,769,2,2,1,1,45,77,4,3,-93.3337208,45.1243266,7,62506858,16982.625,44,-2,0
0,0,1,1,3,0,0,2913,670,3,3,1,0,30,75,5,3,-74.3088879,40.5309535,6,99420248,16812.625,110,-3,1
1,1,0,0,3,0,1,1943,790,2,1,2,0,42,55,4,3,-74.0358876,40.3610648,6,84695635,17735.625,4,0,1
0,0,0,1,0,1,4,28906,610,3,0,1,0,24,35,5,2,-87.9040571,42.9712071,2,22922012,16644.625,53,-1,1
0,0,2,0,9,1,2,1771,777,2,1,1,1,43,70,5,4,-93.2835137,44.8735964,7,26925943,17632.625,44,0,0
0,0,1,1,9,1,3,6478,527,3,2,3,1,35,75,4,2,-82.5131717,27.2612782,0,84913674,17513.625,8,-1,1
0,0,1,0,1,0,3,1966,776,1,1,1,0,49,37,5,2,-81.444379,28.5141606,0,33395303,17807.625,49,-1,1
0,0,2,0,4,0,0,3808,603,2,0,1,0,52,74,4,2,-73.1408613,40.8441592,5,96013314,16526.625,88,0,1
1,1,1,1,0,0,2,1487,730,2,2,1,0,48,70,6,2,-74.1063776,40.9845896,6,72727367,16677.625,93,2,1
0,0,1,0,1,2,1,14186,578,1,0,1,0,59,69,4,2,-87.8255014,42.7333428,2,43507186,17702.625,89,1,1
1,1,1,0,1,2,4,38069,539,1,2,3,0,56,88,5,2,-84.3699767,33.8856615,4,58006593,16921.625,19,-1,1
0,0,2,0,7,1,3,4064,635,2,1,2,0,57,80,6,3,-73.8457658,40.7245678,5,67191981,17097.625,29,0,1
0,0,0,1,0,2,4,13626,533,3,2,3,1,25,65,3,3,-86.8490126,33.4412139,1,96624968,16887.625,45,-1,1
0,0,2,0,4,1,2,2620,655,2,3,2,1,42,84,6,2,-73.7860276,40.8971093,5,34175014,17379.625,94,-2,1
0,0,2,1,9,1,2,2588,679,2,0,2,0,60,50,5,2,-73.2116584,41.1687117,3,79438492,17891.625,107,0,1
0,0,0,0,6,0,0,2914,616,3,0,2,2,22,68,5,2,-80.2153998,26.3494101,0,90267114,17325.625,97,-1,0
1,0,0,0,4,1,0,195,776,3,0,1,1,25,61,6,2,-75.0552739,39.9701797,6,28217391,16573.625,99,1,0
0,0,0,0,4,1,2,4206,603,4,2,2,0,31,77,5,2,-74.0476378,40.8876273,6,85830518,17783.625,93,0,1
1,1,0,0,8,0,1,1755,727,2,0,1,1,34,78,5,2,-73.0493825,41.5658733,3,39560085,16771.625,35,2,1
0,0,0,0,9,1,2,4915,667,1,0,2,1,16,67,4,2,-73.9447994,40.5988077,5,23711545,17829.625,50,1,0
1,0,0,0,0,2,1,4101,710,1,2,2,0,18,80,6,2,-73.7860276,40.8971093,5,33105135,17727.625,94,-1,0
0,0,1,2,7,0,1,3124,642,2,3,2,0,50,65,5,2,-82.394,28.0362327,0,89806587,17076.625,100,0,1
0,0,0,1,0,0,1,1540,743,5,3,2,1,36,63,6,3,-73.8242621,40.9247625,5,33105135,17446.625,94,1,1
0,0,0,1,7,2,1,8070,513,2,1,3,2,32,84,4,2,-73.9374517,40.8288377,5,14091908,17721.625,78,2,1
0,0,0,1,5,1,1,4062,677,5,1,1,0,23,55,6,2,-74.2296713,40.8589645,6,51518418,16669.625,55,3,0
0,0,0,0,7,2,4,9047,553,2,2,1,1,26,54,2,2,-73.8330844,40.6966538,5,36479911,17801.625,29,0,1
0,0,0,1,4,0,2,4626,653,2,0,3,1,34,72,3,2,-74.0152027,40.7167028,5,22683706,16583.625,78,2,0
0,0,0,0,2,1,4,4730,606,3,1,1,0,29,71,2,1,-73.4828374,40.7470968,5,75588957,16628.625,104,-1,1
0,0,0,0,4,0,0,1754,712,2,0,1,0,32,79,3,2,-80.1149414,26.237305,0,14243907,17138.625,12,2,1
0,0,0,0,7,0,0,3279,667,1,2,1,0,19,53,4,2,-74.955948,39.8817088,6,57316954,16490.625,99,1,0
0,0,1,0,5,1,2,2141,642,1,2,1,0,53,50,5,2,-73.4298073,40.7245083,5,75588957,16584.625,104,-1,1
1,1,1,0,4,1,1,1625,811,2,1,2,0,56,72,4,2,-75.0173035,39.8269198,6,23732039,16978.625,99,2,1
0,0,0,1,4,2,4,5485,669,2,1,1,0,32,60,5,3,-77.6364299,43.1816979,5,14414653,17222.625,26,2,1
1,1,0,0,9,0,0,1510,735,1,1,1,0,17,64,4,3,-82.7428057,28.0056225,0,30530071,17562.625,85,-1,0
0,0,0,0,0,2,0,6044,516,2,0,1,0,34,62,6,2,-73.9001578,41.6940961,5,67478060,17742.625,7,0,1
0,0,2,0,7,2,3,4024,682,1,1,2,2,66,81,5,2,-80.2209773,26.2153627,0,63155143,16783.625,12,-1,1
0,0,2,0,0,1,2,5321,682,2,2,1,0,38,66,4,2,-82.5131717,27.9263478,0,62221276,17760.625,100,0,0
0,0,0,0,5,2,4,851,771,6,1,2,1,32,59,4,2,-93.2599459,45.0563001,7,64927896,17189.625,105,-2,1
1,1,2,0,9,2,2,2336,659,2,2,3,0,57,77,8,1,-81.0478643,29.2971256,0,29410779,17606.625,92,0,0
0,0,1,1,0,2,3,7888,569,1,1,1,2,47,81,6,2,-73.9330429,40.8639624,5,25371043,16758.625,78,1,0
0,0,1,1,4,0,1,1313,802,2,3,2,1,57,69,4,2,-74.0375011,40.716828,6,58215696,16845.625,58,2,0
0,0,1,0,5,0,1,2017,717,2,2,1,1,46,62,10,2,-74.4467007,40.607053,6,41919201,16583.625,98,0,1
0,0,1,1,5,2,4,4993,676,2,1,2,0,50,76,5,2,-73.8683697,40.8300731,5,23702218,17072.625,1,0,1
1,0,1,0,4,1,1,4405,626,2,2,1,2,40,67,5,2,-73.8213213,40.7493096,5,13543800,17101.625,29,-2,1
