index,Unnamed: 0,discount,Home_policy_ind,m_living_status,m_ownership,df_prior_carrier,df_cov_package,df_cat_zone,quoted_amt,credit_score,number_drivers,num_loaned_veh,num_owned_veh,num_leased_veh,driver_age,n_safty_rating,car_age,n_car,lon,lat,state_id,Agent_cd,num_date,county_name,n_gender,max_high_edu
1462,1463,1,0,1,0,5,1,1,4488,647,1,2,1,2,42,92,2,2,-75.0552739,39.7891108,NJ,95276379,1465398000,99,1,1
1528,1529,0,0,2,0,0,2,3,2393,652,1,1,3,1,57,86,6,2,-75.9065783,42.1017651,NY,97064309,1449154800,95,1,1
1632,1633,0,0,1,1,3,2,4,2500,638,1,1,1,0,49,65,5,2,-82.7616822,28.0910357,FL,48516700,1471100400,85,1,0
1685,1686,0,0,0,0,9,0,0,1233,751,2,3,3,1,36,79,5,3,-74.9968543,39.9021937,NJ,72727367,1438527600,99,0,1
1825,1826,0,0,1,0,0,0,1,2652,629,1,1,2,1,74,92,6,2,-74.4232507,40.7623187,NJ,77652197,1498402800,14,-1,1
2171,2172,1,1,1,0,9,2,3,3106,676,3,2,3,0,40,77,3,2,-82.5564559,28.0684157,FL,36046842,1445180400,100,1,1
2354,2355,0,0,1,1,5,2,4,8464,519,2,0,1,1,36,70,4,2,-73.9271644,40.6903213,NY,79871525,1542726000,50,2,1
2371,2372,1,0,1,0,9,0,1,952,758,2,0,3,0,51,70,4,2,-74.0799469,40.9094443,NJ,55864316,1513954800,93,-2,1
2523,2524,1,1,1,0,9,1,2,509,732,3,1,1,0,46,78,4,2,-74.1298684,40.7906667,NJ,20229240,1475938800,93,1,1
2579,2580,0,0,1,0,7,1,3,3987,605,2,1,2,0,58,88,4,2,-73.4828374,40.7470968,NY,23618291,1494774000,104,0,0
2713,2714,0,0,2,0,6,0,1,4003,682,1,1,2,2,65,90,4,2,-73.5211286,41.0699973,CT,94223462,1523804400,107,-1,0
2738,2739,1,0,1,0,5,1,1,6818,573,1,3,2,0,73,79,4,3,-73.8683697,40.8990767,NY,73458039,1454598000,1,1,1
2968,2969,1,0,2,0,6,1,1,3128,617,3,1,2,2,46,65,8,2,-73.1792125,41.1858661,CT,81956955,1435590000,107,-1,1
3130,3131,1,0,2,0,5,0,1,2601,635,1,0,2,0,40,92,6,2,-74.7249281,40.2242807,NJ,28215315,1539183600,63,1,0
3249,3250,0,0,2,0,7,1,2,1830,769,1,3,3,0,56,74,4,2,-78.8099472,42.9109033,NY,33105135,1473778800,67,-1,1
3485,3486,0,0,0,1,5,2,4,8160,514,5,2,3,0,25,71,5,3,-87.9873724,42.9678365,WI,52587537,1442588400,53,1,1
3569,3570,0,0,0,0,2,1,1,3806,616,3,2,1,1,32,65,5,2,-74.0270745,40.8773217,NJ,73426082,1483369200,93,1,0
3815,3816,1,1,0,1,0,0,0,4348,583,2,1,1,0,40,41,6,3,-78.8778946,42.9752741,NY,84945652,1455721200,67,0,0
3881,3882,0,0,0,0,3,2,3,7104,511,3,2,2,1,31,73,8,2,-73.1261091,40.9132244,NY,84733891,1480690800,88,-1,1
4053,4054,0,0,1,0,7,0,2,1404,714,1,1,1,1,42,91,5,4,-80.26001,26.2706389,FL,96550783,1441897200,12,-1,1
4190,4191,0,0,1,1,5,0,0,1919,779,1,0,1,0,45,80,5,2,-80.1484407,25.8535635,FL,16509296,1445785200,81,1,1
4328,4329,1,0,1,0,7,1,1,4789,666,1,1,2,2,63,77,3,1,-74.0094471,40.7217861,NY,67327957,1446217200,78,1,0
4362,4363,1,0,2,1,0,0,0,3486,660,1,0,3,1,40,87,5,2,-73.7977928,40.760743,NY,30906292,1461164400,29,1,1
4380,4381,0,0,0,0,7,2,3,20106,600,4,3,1,2,28,75,6,2,-73.6506776,40.7987048,NY,86979213,1454770800,104,0,1
4402,4403,0,0,2,0,6,0,4,3246,623,1,1,1,1,45,94,6,2,-82.24,30.06,FL,91865745,1533394800,21,-1,1
4444,4445,0,0,1,1,0,0,0,2113,695,1,0,2,0,47,62,6,2,-80.3045967,25.8641207,FL,13469725,1513522800,81,1,1
4622,4623,0,0,0,1,0,1,0,2544,720,3,0,1,0,37,71,5,3,-81.4114142,28.4889021,FL,29240034,1471618800,49,1,1
4744,4745,0,0,2,0,8,1,1,4967,654,1,2,1,2,41,64,4,2,-73.9991637,40.7536854,NY,25371043,1420124400,78,-1,1
4803,4804,1,1,2,0,5,0,1,851,727,1,2,2,1,46,57,4,2,-74.4232507,40.6137438,NJ,90316138,1483023600,98,1,0
4937,4938,0,0,1,1,2,0,0,3405,698,1,1,1,0,35,72,4,4,-73.9447994,42.8129576,NY,83174573,1469026800,0,-1,1
4993,4994,0,0,2,0,1,1,1,2258,696,1,1,3,0,74,58,4,2,-80.109357,26.5114554,FL,51583805,1518620400,97,1,0
5340,5341,0,0,2,0,5,2,4,8209,516,3,1,3,1,45,74,5,2,-73.8948295,40.6387196,NY,27547828,1485097200,50,-1,1
5353,5354,0,0,1,1,2,0,0,1872,729,3,2,1,0,30,78,6,2,-74.3792737,40.8822334,NJ,56477064,1456930800,14,-1,1
5378,5379,0,0,1,0,0,2,4,3626,666,3,1,1,0,36,63,5,2,-82.7940297,27.8131235,FL,20393952,1490194800,85,-1,0
5472,5473,0,0,0,1,0,1,0,5796,666,2,2,2,0,32,54,4,2,-74.0593872,40.0851765,NJ,79841505,1513436400,80,0,1
5696,5697,1,1,2,0,5,2,4,3519,703,2,1,1,0,49,82,4,2,-79.2815333,42.1099323,NY,61782099,1474729200,36,0,1
6046,6047,0,0,0,0,4,1,2,5780,620,3,2,1,0,27,50,6,2,-73.9418603,40.5860069,NY,99284448,1530543600,50,-1,1
6273,6274,0,0,0,0,3,1,0,2715,606,3,3,3,1,24,79,5,2,-73.9212858,40.7043156,NY,13428584,1439391600,50,1,0
6510,6511,1,1,1,1,7,0,3,3738,738,3,1,1,0,38,70,5,2,-81.7021049,26.1916102,FL,13469725,1428159600,111,1,1
6545,6546,1,0,0,1,3,1,3,2879,569,3,2,1,0,29,66,7,2,-93.3439291,44.825116,MN,87412086,1486220400,44,3,1
6607,6608,1,1,2,0,1,0,0,1844,794,1,1,1,0,46,88,5,1,-80.2823063,25.9445817,FL,47310293,1474556400,81,-1,1
6623,6624,0,0,1,1,6,0,1,5209,654,2,0,2,1,48,78,5,2,-83.6527972,32.8274424,GA,37069998,1518793200,47,0,1
6725,6726,1,0,0,2,5,1,2,921,737,2,1,1,1,32,87,6,2,-74.2296713,40.8589645,NJ,28393634,1482332400,55,0,1
7059,7060,1,1,1,0,3,1,2,1128,714,3,2,2,1,33,63,3,3,-80.0814292,26.4569636,FL,24000287,1426431600,97,-1,1
7082,7083,0,0,1,0,7,0,0,5018,658,3,1,1,1,47,74,6,2,-76.4830579,42.4467049,NY,45422531,1435935600,34,3,1
7253,7254,0,0,2,0,7,1,2,1647,735,3,2,1,1,43,61,6,2,-74.223802,40.5265593,NY,33105135,1451314800,69,-1,1
7388,7389,1,1,2,0,5,0,2,978,785,1,2,1,2,36,78,5,2,-82.6861446,28.0055309,FL,90495594,1506956400,85,-1,1
7417,7418,0,0,2,0,9,1,2,2801,707,1,2,2,1,62,50,5,2,-74.0623244,40.1030781,NJ,35570003,1460732400,4,-1,0
7420,7421,0,0,0,1,0,1,1,2564,592,2,1,1,0,33,70,9,3,-73.471054,40.7848157,NY,33105135,1482764400,104,0,1
7433,7434,0,0,2,0,2,0,1,1541,774,1,2,2,0,34,72,6,1,-74.3176876,40.6189813,NJ,71716861,1452870000,98,-1,1
7483,7484,0,0,1,0,0,0,0,510,739,3,0,2,0,41,56,8,3,-93.3003292,45.0551429,MN,41926877,1494687600,44,3,1
7792,7793,1,1,1,0,2,0,1,353,781,1,3,1,2,53,79,6,4,-74.4203192,40.3823028,NJ,28148761,1467558000,110,1,1
7833,7834,1,0,2,0,0,0,0,2144,638,2,1,3,0,46,81,6,3,-80.360297,25.7038331,FL,68586562,1426258800,81,0,1
7842,7843,0,0,1,0,5,2,4,12937,552,2,0,2,2,41,72,7,3,-84.238417,33.9851868,GA,87212576,1439823600,9,0,1
8059,8060,1,1,0,0,4,0,0,455,745,2,0,1,0,32,72,6,2,-82.7401087,27.8219579,FL,90495594,1540220400,85,2,1
8123,8124,0,0,2,0,7,1,2,6322,548,1,2,1,0,53,67,8,2,-73.8977693,40.8687887,NY,98104495,1436799600,1,-1,0
8158,8159,0,0,2,0,2,0,1,623,716,3,0,2,0,39,66,7,2,-75.1165915,39.9556147,NJ,72727367,1543417200,99,-1,1
8419,8420,0,0,1,0,5,0,0,3352,676,2,1,2,1,47,78,5,2,-73.9888797,40.948271,NJ,21218786,1469286000,93,0,1
8429,8430,1,0,1,0,5,0,0,1452,722,2,3,2,1,74,65,2,1,-75.0815557,39.9057907,NJ,88063617,1469631600,99,0,1
8676,8677,1,1,2,0,7,0,1,1078,623,2,0,1,2,44,62,6,3,-81.4285851,27.8565441,FL,48176726,1469026800,10,-2,1
8801,8802,0,0,2,1,2,1,2,4610,723,1,1,1,0,40,89,3,2,-74.7015158,40.8967137,NJ,77652197,1432998000,14,-1,1
8903,8904,0,0,0,1,6,0,1,853,768,1,2,3,2,18,70,6,2,-80.3352364,25.5527232,FL,37520067,1420729200,81,1,0
8970,8971,0,0,1,1,7,1,1,2806,672,1,2,1,0,61,53,5,2,-87.8598861,42.9460825,WI,30821916,1530802800,53,1,0
9060,9061,1,1,0,1,1,0,1,3430,651,1,1,2,0,18,84,4,2,-73.9418603,40.5860069,NY,15980951,1456153200,50,1,0
9191,9192,0,0,1,0,6,2,4,16763,539,1,1,2,0,65,89,6,4,-89.3084607,43.099931,WI,80715784,1544799600,65,-1,1
9344,9345,0,0,0,0,2,0,0,2110,591,4,1,2,0,35,76,5,3,-73.8477874,40.7901266,NY,78328194,1446649200,29,-2,0
9425,9426,1,1,2,0,8,0,0,1564,760,2,0,1,1,56,72,5,3,-80.2070328,25.7667897,FL,16509296,1435849200,81,0,1
9511,9512,1,0,1,0,0,3,0,2503,683,2,1,1,1,53,90,6,2,-75.2187346,43.0808833,NY,83052732,1463324400,68,0,1
9572,9573,0,0,1,0,4,0,1,1899,781,3,1,2,1,35,65,4,2,-93.0817473,44.9737443,MN,93829417,1439564400,84,-1,1
9790,9791,0,0,1,0,8,2,4,11123,620,1,2,1,0,47,90,5,3,-84.5064881,33.8806897,GA,43241271,1516719600,33,-1,1
10183,10184,1,1,2,0,5,0,0,5355,635,1,1,1,0,31,60,6,2,-87.9775787,44.5087986,WI,44472935,1545577200,74,-1,1
10409,10410,1,0,2,0,0,1,2,2546,639,1,2,1,0,58,70,6,2,-73.9888797,40.2947027,NJ,67527809,1468076400,4,1,0
10514,10515,1,1,0,0,5,2,3,5124,683,2,1,1,0,40,60,4,2,-73.9976946,40.6310753,NY,80118495,1422543600,50,2,0
10557,10558,1,1,0,0,8,0,0,4300,656,1,2,1,0,17,50,5,2,-80.2042436,25.7870967,FL,59115770,1458054000,81,-1,0
10638,10639,0,0,1,0,9,1,0,5313,658,1,1,2,2,30,72,4,2,-75.9065783,42.1017651,NY,64318746,1429974000,95,1,1
10728,10729,0,0,2,0,0,0,0,2833,668,1,1,1,0,49,47,3,1,-74.0358876,40.846514,NJ,63570788,1448895600,93,1,1
10853,10854,0,0,2,1,5,1,0,2862,682,1,1,1,0,45,65,4,2,-74.0946311,40.9041233,NJ,81250154,1533999600,93,1,1
10858,10859,1,1,0,0,2,0,1,8025,506,3,0,1,1,30,77,4,2,-80.1372757,25.8176795,FL,59115770,1517151600,81,-3,1
10906,10907,1,0,0,0,6,2,0,6526,570,1,3,1,1,16,68,4,2,-80.2711588,26.1544576,FL,59230335,1471705200,12,-1,0
11026,11027,1,1,2,1,1,1,0,2591,603,1,2,1,0,35,71,4,2,-72.2067681,41.7133607,CT,36136474,1504018800,11,1,0
11053,11054,0,0,0,0,0,1,2,1487,750,5,1,2,1,33,75,6,4,-80.1316927,26.6530817,FL,51583805,1514732400,97,-1,1
11176,11177,0,0,0,0,9,3,4,7712,533,4,0,2,0,35,68,7,2,-73.0346244,40.8380145,NY,96722034,1472828400,88,0,1
11584,11585,0,0,1,0,4,1,2,3307,607,2,1,1,0,44,85,5,2,-74.505312,39.3317283,NJ,72727367,1495724400,22,2,1
11675,11676,1,1,2,0,2,0,1,1042,765,2,3,1,1,72,78,4,2,-80.2671381,26.3343894,FL,96550783,1478012400,12,0,1
11687,11688,0,0,2,0,7,2,0,15930,589,1,1,1,0,40,53,4,2,-89.4600369,43.0716332,WI,30821916,1533135600,65,-1,1
11715,11716,1,0,2,0,4,0,0,1047,765,2,0,1,0,52,68,7,2,-93.3080409,44.9685475,MN,62506858,1430233200,44,0,1
11960,11961,0,0,1,0,4,2,2,1403,745,2,0,1,0,60,84,3,2,-80.2711588,25.7213213,FL,16509296,1544799600,81,0,1
12012,12013,0,0,1,0,2,1,0,2199,649,2,1,1,0,49,80,5,4,-74.3176876,40.4601511,NJ,20720350,1429714800,110,0,1
12186,12187,1,1,1,1,6,1,0,4475,651,1,1,1,1,43,72,8,2,-78.8241068,42.8954613,NY,33764179,1480431600,67,-1,1
12226,12227,0,0,0,0,7,1,1,5462,671,3,1,2,0,34,66,5,2,-73.9932872,40.7750791,NY,83930923,1444316400,78,-1,1
12230,12231,1,1,0,0,0,0,1,2823,667,4,2,1,1,41,70,4,4,-93.2693572,44.9836543,MN,41926877,1471273200,44,2,1
12582,12583,0,0,2,0,6,0,0,1662,752,2,2,1,0,48,80,6,2,-82.7023383,28.3031034,FL,56278786,1466521200,103,-2,1
13134,13135,0,0,2,0,3,0,0,1205,747,3,1,1,0,49,75,6,3,-74.1298684,40.8597746,NJ,72727367,1472050800,109,-1,0
13378,13379,0,0,1,1,9,0,0,1838,737,3,1,1,0,38,69,6,2,-80.0926014,26.6211772,FL,36021136,1542812400,97,-3,1
13442,13443,0,0,0,0,9,0,0,9131,617,1,1,1,0,17,51,7,2,-73.9095279,40.8310224,NY,52392414,1441551600,1,-1,0
13714,13715,0,0,2,0,7,0,1,1103,798,1,2,2,0,52,81,4,2,-73.7389596,40.7078289,NY,34672474,1473087600,29,-1,1
13722,13723,0,0,2,0,9,2,4,4876,633,2,3,3,0,54,62,5,2,-82.5456374,27.3681789,FL,64089550,1518620400,8,0,1
13803,13804,1,1,0,0,6,0,1,3543,660,5,1,2,0,30,62,2,2,-82.723924,27.791959,FL,20393952,1485442800,85,-1,1
13890,13891,0,0,0,0,0,0,0,5588,664,4,2,3,0,34,71,8,2,-73.9976946,40.6310753,NY,80118495,1485270000,50,-4,1
13916,13917,0,0,2,0,9,2,3,2472,684,2,1,1,0,48,86,5,2,-81.6555607,30.3276337,FL,71295163,1445871600,56,0,1
13994,13995,1,1,2,0,2,3,4,4195,689,2,3,1,0,42,73,7,2,-73.506402,40.6814503,NY,75588957,1528210800,104,0,1
14050,14051,0,0,1,1,6,1,2,2411,634,3,2,3,0,33,73,5,3,-81.3756862,28.5416658,FL,31802498,1538233200,49,1,1
14211,14212,1,1,2,0,0,1,4,1153,779,2,1,1,0,60,68,5,3,-74.1386767,40.6311567,NY,70603143,1539442800,69,0,1
14264,14265,1,1,2,1,3,1,0,3361,634,1,1,1,1,57,56,6,2,-74.1298684,40.830167,NJ,50513519,1466607600,109,-1,1
14444,14445,1,1,0,0,7,1,0,5119,666,5,1,1,1,32,77,3,1,-73.7830861,40.9926382,NY,53323320,1420297200,94,3,1
14497,14498,0,0,0,0,1,1,2,4205,686,4,1,2,0,22,58,6,2,-74.2149978,40.6517521,NJ,89335051,1539529200,98,2,1
14660,14661,0,0,2,0,5,2,1,3436,589,3,0,1,1,37,79,5,2,-80.1596041,26.0181766,FL,13469725,1470063600,12,1,1
14725,14726,0,0,2,0,2,0,0,1287,792,1,0,2,2,43,78,3,2,-74.1181234,40.7593718,NJ,82659665,1433689200,58,1,1
15159,15160,0,0,2,0,7,2,1,7325,582,2,1,1,2,47,78,5,2,-73.9095279,40.7224092,NY,77802714,1439218800,29,-2,1
15243,15244,0,0,0,0,5,0,1,4195,697,3,0,1,0,29,64,4,2,-73.7977928,40.6718171,NY,76271163,1490626800,29,-1,0
15245,15246,0,0,1,0,9,2,3,7637,566,1,1,2,0,49,84,3,2,-73.6918806,40.636775,NY,33105135,1433775600,104,-1,1
15503,15504,0,0,0,0,4,0,0,4920,644,2,1,1,0,40,76,6,2,-74.0094471,40.7366138,NY,98444667,1474902000,78,0,1
15807,15808,0,0,1,1,9,2,4,8311,499,1,2,1,0,81,92,4,2,-73.9447994,40.8409822,NY,22683706,1459868400,78,-1,0
15814,15815,1,1,0,0,2,1,0,4844,579,1,1,1,0,18,79,7,2,-72.6919814,41.7895977,CT,73414226,1442502000,16,1,0
15910,15911,1,1,1,0,4,1,0,517,720,1,3,2,1,69,71,4,2,-73.9859414,40.5749261,NY,79871525,1451574000,50,-1,1
16225,16226,0,0,2,0,4,1,2,2988,606,1,3,2,1,52,71,4,2,-73.9976946,40.6310753,NY,45682174,1477580400,50,-1,0
16532,16533,0,0,2,0,7,2,4,6559,535,1,1,1,0,48,68,5,2,-74.1181234,40.6307451,NY,33105135,1534431600,69,1,1
16609,16610,0,0,2,0,6,1,0,2071,650,1,2,1,0,39,80,2,2,-80.3992652,25.6653934,FL,68586562,1445698800,81,1,1
16744,16745,0,0,1,1,5,1,2,2466,578,1,3,2,0,48,77,4,3,-80.360297,25.7038331,FL,30936831,1515250800,81,-1,0
16780,16781,1,1,0,0,9,1,1,2606,653,2,0,3,2,30,75,6,2,-74.2824862,40.5545823,NJ,72727367,1544540400,110,0,1
16879,16880,0,0,1,0,6,1,1,1231,770,2,1,3,0,54,78,4,2,-82.6861446,28.0055309,FL,88252427,1481036400,85,0,1
16909,16910,0,0,0,0,3,1,1,2964,649,3,1,1,2,26,68,4,2,-74.45185,40.4861552,NJ,83907345,1479481200,110,1,0
16937,16938,0,0,2,0,1,2,4,3903,581,1,2,1,0,35,63,4,2,-80.0590804,26.6654996,FL,13469725,1424185200,97,1,0
17084,17085,1,1,0,0,0,1,1,1775,758,3,1,2,1,22,67,5,2,-93.1855735,44.9790183,MN,41926877,1479049200,84,1,0
17395,17396,0,0,0,1,5,0,4,728,786,2,2,2,0,42,50,5,2,-74.0593872,40.2448804,NJ,67527809,1472223600,4,0,1
17529,17530,0,0,1,0,9,1,1,1430,746,1,0,3,0,39,46,5,2,-73.0346244,40.8085015,NY,16153584,1471705200,88,-1,1
17592,17593,1,1,0,0,5,1,1,5883,613,5,0,2,0,35,68,5,4,-74.5873348,40.3379035,NJ,20720350,1469718000,110,-3,1
17745,17746,0,0,2,0,9,3,1,3693,624,1,1,2,1,54,56,8,2,-82.6321376,27.7929237,FL,20393952,1463583600,85,1,1
17976,17977,0,0,0,0,2,0,0,1890,812,5,1,3,0,30,62,7,2,-74.197388,40.7383636,NJ,72727367,1469977200,55,-1,1
18095,18096,0,0,2,0,7,2,4,4913,643,1,2,2,0,34,79,3,2,-93.1127413,44.9343827,MN,15885987,1434207600,84,-1,1
18305,18306,0,0,2,0,4,0,1,4603,622,2,2,2,2,66,91,5,2,-73.8124984,40.7850656,NY,93926952,1460559600,29,0,1
18307,18308,0,0,1,0,9,2,3,6918,575,1,1,2,0,45,92,6,2,-73.8713099,41.0102232,NY,57345641,1420988400,94,1,0
18398,18399,0,0,0,1,5,0,0,1219,718,3,1,1,0,21,52,5,2,-74.0079781,40.2114561,NJ,46279424,1432998000,4,-1,1
18586,18587,0,0,0,1,5,1,2,1055,685,4,2,3,1,34,72,4,2,-75.1370254,39.7292456,NJ,67451281,1480863600,24,2,1
18696,18697,0,0,1,1,3,1,0,3057,603,1,3,2,0,49,88,6,2,-74.0388252,40.9282671,NJ,57243398,1529420400,93,-1,1
18735,18736,0,0,1,1,2,0,0,1505,771,1,0,2,0,53,77,4,2,-74.4203192,40.3823028,NJ,73256483,1511103600,110,-1,1
18762,18763,1,1,1,0,2,2,4,11307,477,1,1,2,0,43,83,5,2,-73.6359602,40.6311473,NY,32759856,1539442800,104,1,0
18864,18865,0,0,2,0,4,3,0,2998,658,2,2,2,0,46,65,5,2,-80.1484407,25.8535635,FL,84927929,1529247600,81,0,1
19039,19040,0,0,1,2,2,2,3,965,770,1,2,1,1,49,27,4,2,-74.1856472,40.7663804,NJ,42190032,1473260400,55,1,1
19305,19306,0,0,2,0,5,2,0,2543,645,2,2,1,1,52,68,4,2,-74.2120629,40.7132136,NJ,42723465,1460818800,55,2,1
19382,19383,0,0,0,1,4,2,3,2782,681,2,1,1,0,34,84,7,2,-73.4298073,40.7245083,NY,23618291,1473865200,104,0,0
19606,19607,0,0,0,1,8,1,3,5788,665,2,3,3,2,25,83,4,2,-73.9212858,40.8721452,NY,33105135,1530889200,78,0,1
19658,19659,0,0,2,0,7,1,1,4155,658,1,2,2,0,51,75,5,3,-74.0094562,40.7064363,NY,83930923,1426863600,78,1,1
19702,19703,1,1,0,0,4,0,1,929,703,2,1,1,0,31,88,6,4,-74.1386767,40.9127904,NJ,72727367,1473692400,109,0,1
19705,19706,0,0,2,0,4,0,0,3149,649,1,0,2,0,42,66,6,2,-74.7775938,40.1163333,NJ,82557584,1429714800,39,-1,1
19898,19899,0,0,2,1,1,2,0,2473,613,2,2,2,1,44,82,5,2,-82.7293193,27.7514295,FL,13469725,1522594800,85,-2,1
20094,20095,0,0,1,0,4,1,1,5510,643,1,2,2,0,44,90,4,2,-73.6227136,40.8155959,NY,70496981,1469890800,104,1,1
20207,20208,0,0,0,0,0,2,2,17691,449,5,2,2,0,34,81,6,2,-84.3016021,33.8992049,GA,26320656,1499353200,73,-3,1
20253,20254,1,0,1,1,2,0,1,1682,740,3,1,1,0,32,64,5,2,-93.2599459,45.0563001,MN,61426762,1436367600,105,1,1
20458,20459,1,1,1,0,0,0,1,5116,654,2,0,1,0,50,80,4,2,-80.1763467,26.5861576,FL,90267114,1466089200,97,-2,1
20491,20492,0,0,1,1,1,0,0,4641,705,1,2,1,1,42,70,5,2,-80.2209773,26.2153627,FL,51210580,1466348400,12,1,1
20495,20496,0,0,1,0,2,1,1,3964,630,2,2,1,0,42,83,5,2,-81.3014284,28.5513952,FL,13469725,1517670000,49,0,1
20521,20522,0,0,2,0,7,0,0,1557,741,1,2,2,1,60,84,9,1,-73.9653715,40.6190629,NY,99153485,1503673200,50,1,1
20719,20720,1,1,2,0,0,0,0,1934,776,1,2,2,1,85,80,3,3,-74.2208673,40.7564795,NJ,87257709,1451228400,55,1,1
20991,20992,1,1,1,0,1,0,1,1362,775,1,1,3,0,46,78,6,2,-81.5706109,30.2906907,FL,52518245,1519916400,56,-1,1
21060,21061,0,0,1,0,5,0,0,2594,676,1,1,1,0,28,64,6,2,-74.2707509,40.5827122,NJ,15910446,1511535600,110,1,0
21283,21284,1,1,2,0,1,0,1,3183,696,1,1,3,0,47,71,4,2,-80.0926014,26.2474478,FL,48947678,1524322800,12,1,1
21373,21374,0,0,2,1,4,2,3,2064,672,2,1,1,0,56,68,7,2,-74.1328046,39.9278286,NJ,72727367,1433516400,80,-2,1
21583,21584,0,0,2,1,4,1,1,2805,648,1,1,1,1,33,94,4,2,-93.2524636,45.1688065,MN,95513683,1431702000,105,-1,1
21631,21632,0,0,1,0,3,2,4,5654,656,1,0,1,1,50,53,7,1,-93.0275802,44.8759802,MN,88028796,1487948400,108,1,1
21684,21685,0,0,2,0,1,1,2,4517,682,1,2,1,0,80,54,4,2,-81.5870604,30.3776024,FL,88260317,1465052400,56,-1,0
21742,21743,0,0,0,0,4,0,0,5129,646,2,1,3,2,39,72,8,2,-72.9934468,41.5399755,CT,75318741,1495810800,35,-2,0
21780,21781,1,1,2,0,3,2,2,5727,715,2,1,1,1,56,69,6,3,-74.2707509,40.5827122,NJ,72727367,1423148400,110,0,1
22120,22121,1,0,2,0,0,1,1,2426,625,1,1,1,0,44,66,2,2,-74.2868868,40.7199369,NJ,91975381,1426431600,98,-1,1
22255,22256,1,1,0,0,1,0,1,9763,517,2,1,1,1,44,55,4,4,-82.723924,28.0715767,FL,32780198,1444057200,85,-2,0
22435,22436,0,0,2,0,1,0,0,1656,715,1,1,1,2,47,88,5,2,-72.106068,41.3631426,CT,34547509,1423407600,32,-1,1
22575,22576,0,0,0,1,4,2,1,3990,616,4,2,1,0,30,70,6,3,-73.7095365,40.7430884,NY,76440669,1469631600,29,2,1
22950,22951,0,0,2,0,4,1,3,3610,649,2,2,1,1,40,69,6,2,-75.0932352,39.8821763,NJ,57316954,1473519600,99,2,1
23059,23060,1,0,1,1,0,0,0,2787,673,3,1,1,1,39,71,6,4,-82.5564559,28.0684157,FL,62221276,1468940400,100,-1,1
23259,23260,0,0,1,0,6,2,3,3617,613,2,2,1,1,60,85,4,2,-80.3491599,25.7616792,FL,30936831,1456844400,81,-2,1
23329,23330,0,0,2,0,4,0,0,4820,567,3,1,1,0,36,73,3,3,-81.3564411,28.334712,FL,98946096,1520866800,52,3,1
23428,23429,0,0,2,0,2,0,3,2576,675,3,1,2,0,42,67,5,4,-73.6683371,40.672917,NY,63287205,1439218800,104,3,1
23488,23489,0,0,0,0,0,0,0,2948,608,2,0,2,0,44,80,6,2,-93.2524636,45.1688065,MN,18283449,1481295600,105,-2,0
23795,23796,1,0,2,0,6,2,3,6313,470,2,2,2,0,48,94,5,2,-84.3016021,33.8992049,GA,88782607,1469458800,73,-2,1
23932,23933,0,0,2,0,3,0,1,583,755,3,1,1,0,31,74,4,2,-80.0590804,26.6654996,FL,90724904,1460818800,97,1,1
24067,24068,0,0,1,0,2,1,0,3730,674,2,0,2,0,48,80,6,2,-72.7865518,41.6881608,CT,33015616,1441378800,16,2,1
